timestamp,open,high,low,close,volume
2025-05-01 04:00:00+00:00,478,478,477.75,478,0
2025-05-01 05:00:00+00:00,478,478.5,478,478,562
2025-05-01 06:00:00+00:00,478.25,479.25,478.25,478.25,1558
2025-05-01 07:00:00+00:00,478.25,478.75,476.25,477.75,2944
2025-05-01 08:00:00+00:00,477.75,478,477.25,477.5,849
2025-05-01 09:00:00+00:00,477.75,478,476.75,477,1638
2025-05-01 10:00:00+00:00,477,479,477,478.5,1492
2025-05-01 11:00:00+00:00,478.5,480,477.75,480,3502
2025-05-01 12:00:00+00:00,479.75,480,477.5,478.25,5500
2025-05-01 13:00:00+00:00,478,478.5,474.75,474.75,22722
2025-05-01 14:00:00+00:00,474.75,476.75,473.5,474.75,18442
2025-05-01 15:00:00+00:00,474.75,475.25,471,473.25,26916
2025-05-01 16:00:00+00:00,473.25,473.25,470,471.5,23363
2025-05-01 17:00:00+00:00,471.75,475,471.5,473,18454
2025-05-01 18:00:00+00:00,473,473.75,471.5,471.5,21993
2025-05-02 00:00:00+00:00,472.25,473,472,473,0
2025-05-02 01:00:00+00:00,472.75,473.25,471.5,472,3209
2025-05-02 02:00:00+00:00,471.75,473,471.75,473,280
2025-05-02 03:00:00+00:00,473,473,472.75,472.75,294
2025-05-02 04:00:00+00:00,472.75,472.75,472.25,472.5,624
2025-05-02 05:00:00+00:00,472.5,473,472.5,472.75,431
2025-05-02 06:00:00+00:00,472.5,472.75,471.5,471.5,1441
2025-05-02 07:00:00+00:00,471.75,472.25,471.25,472.25,983
2025-05-02 08:00:00+00:00,472.5,472.5,470.75,470.75,1350
2025-05-02 09:00:00+00:00,470.75,472.25,470.5,472,1176
2025-05-02 10:00:00+00:00,472.25,473.5,471.5,472.75,1377
2025-05-02 11:00:00+00:00,472.5,474.5,472.25,474.5,2689
2025-05-02 12:00:00+00:00,474.5,475.25,474.25,474.5,4601
2025-05-02 13:00:00+00:00,474.75,477,474.5,476,20759
2025-05-02 14:00:00+00:00,476,476,471.5,473,29662
2025-05-02 15:00:00+00:00,472.75,473.25,470,470.75,19432
2025-05-02 16:00:00+00:00,471,472,469,469.25,22761
2025-05-02 17:00:00+00:00,469.25,470,468.25,469.5,16150
2025-05-02 18:00:00+00:00,469.5,469.75,468.5,468.75,22965
2025-05-05 00:00:00+00:00,469,470.75,466.75,466.75,5676
2025-05-05 01:00:00+00:00,466.75,467.25,466.5,467,649
2025-05-05 02:00:00+00:00,466.75,467,466.5,466.75,568
2025-05-05 03:00:00+00:00,467,467,466.5,466.75,576
2025-05-05 04:00:00+00:00,466.5,467,466.25,466.5,2386
2025-05-05 05:00:00+00:00,466.5,466.75,465.75,466,1606
2025-05-05 06:00:00+00:00,465.75,466.25,465.25,465.25,1269
2025-05-05 07:00:00+00:00,465.5,467,465.5,466.75,1498
2025-05-05 08:00:00+00:00,466.75,467.5,466.5,466.5,867
2025-05-05 09:00:00+00:00,466.25,467,466,466.25,1244
