v,vw,o,c,h,l,t,n
79001.0,223.2271,222.27,223.35,223.86,222.27,1730448000000,2235
29337.0,223.4695,223.36,223.23,223.8,223.19,1730451600000,928
48639.0,223.4962,223.2,223.31,223.71,223.1,1730455200000,1283
269009.0,222.247,223.31,222.02,223.4,221.59,1730458800000,5675
1789161.0,224.1473,222.74,221.88,225.91,220.88,1730462400000,13850
11632050.0,222.3038,221.88,223.8499,223.901,220.27,1730466000000,151475
12722972.0,223.6705,223.85,222.435,225.35,221.6,1730469600000,165092
7929075.0,222.4356,222.4205,222.08,223.26,221.88,1730473200000,139626
4887605.0,222.238,222.07,222.6,222.69,221.77,1730476800000,135068
3776615.0,222.618,222.5911,222.2,223.3999,222.07,1730480400000,83622
3509322.0,222.3384,222.19,222.6,222.68,222.07,1730484000000,52664
7281311.0,222.782,222.59,222.85,223.25,222.25,1730487600000,101104
977997.0,222.9132,222.91,222.87,223.29,222.76,1730491200000,2369
43209.0,222.8524,222.87,223.0,223.0,222.83,1730494800000,801
21039.0,222.8968,222.9646,222.93,223.0,222.81,1730498400000,596
17087.0,222.7195,222.84,222.68,222.89,222.55,1730502000000,477
46358.0,221.5379,221.51,221.71,221.82,221.3,1730710800000,1680
21650.0,221.9007,221.7,222.01,222.05,221.64,1730714400000,527
37294.0,221.4316,221.96,221.42,221.96,221.03,1730718000000,1310
99501.0,221.5441,221.45,221.51,222.0,221.2,1730721600000,2285
185227.0,221.5617,221.7714,221.36,222.3,221.1514,1730725200000,5467
6790837.0,220.9959,221.33,222.065,222.41,219.71,1730728800000,109144
4282342.0,221.9314,222.06,221.61,222.54,221.35,1730732400000,75580
5313156.0,221.4819,221.62,221.08,222.01,220.81,1730736000000,132475
3051038.0,221.1238,221.071,221.79,222.15,220.41,1730739600000,122311
2669384.0,222.215,221.77,222.4,222.62,221.46,1730743200000,67483
2411379.0,222.5198,222.43,222.625,222.76,222.2,1730746800000,39543
5412247.0,222.1428,222.625,222.12,222.79,221.52,1730750400000,82929
1471932.0,222.0099,222.01,221.98,222.2998,221.8018,1730754000000,1991
1450115.0,222.0059,221.91,221.6132,222.01,221.6036,1730757600000,531
34050.0,221.7764,221.68,221.7,222.0,221.61,1730761200000,603
14916.0,221.5674,221.63,221.53,221.7696,221.5,1730764800000,313
16455.0,221.5232,221.9,221.6,221.9,221.3,1730797200000,557
10425.0,221.4876,221.6,221.55,221.66,221.13,1730800800000,288
11942.0,221.958,221.72,221.97,222.3,221.72,1730804400000,413
20590.0,221.6593,221.98,221.52,222.15,221.35,1730808000000,753
95348.0,221.6642,221.93,221.8887,222.1,220.4,1730811600000,3070
4300886.0,222.7843,221.81,223.545,223.95,221.1,1730815200000,67265
4186117.0,223.0534,223.56,222.195,223.8452,222.06,1730818800000,140168
2832608.0,222.8139,222.19,223.23,223.33,221.93,1730822400000,108810
2086581.0,223.5315,223.25,223.49,223.78,223.15,1730826000000,36997
2258618.0,222.9061,223.495,222.85,223.51,222.4002,1730829600000,38045
1979377.0,223.1288,222.86,222.9399,223.45,222.81,1730833200000,34923
4192585.0,223.1441,222.93,223.46,223.53,222.71,1730836800000,62189
722161.0,223.4246,223.45,223.1766,223.59,223.01,1730840400000,2337
47622.0,223.2911,223.29,223.06,223.45,223.0201,1730844000000,506
20840.0,223.0387,223.04,222.96,223.12,222.9105,1730847600000,470
50993.0,222.7593,222.98,223.15,223.1642,222.24,1730851200000,1322
130563.0,224.5539,226.9,224.49,226.9,223.66,1730883600000,3996
96369.0,223.7626,224.31,223.31,224.31,223.31,1730887200000,1965
119093.0,223.0895,223.49,223.0,223.6,222.41,1730890800000,2703
265262.0,223.9907,223.0,224.0,224.6,223.0,1730894400000,5216
465811.0,224.5063,224.05,223.95,228.78,222.892,1730898000000,10451
10166814.0,223.8232,223.81,224.45,225.64,221.19,1730901600000,153931
7410300.0,225.1144,224.48,224.21,226.065,223.94,1730905200000,121890
4906249.0,224.5156,224.205,224.67,225.185,223.69,1730908800000,113625
3863227.0,224.338,224.665,224.35,224.68,223.965,1730912400000,112440
3149515.0,224.1793,224.35,223.915,224.56,223.845,1730916000000,93344
3747991.0,223.7421,223.92,223.4101,224.09,223.26,1730919600000,58982
7545523.0,223.3706,223.42,222.7,224.225,222.5,1730923200000,104915
1158498.0,222.7691,222.72,223.17,223.41,222.36,1730926800000,5574
81588.0,223.1464,223.08,222.76,223.5,222.72,1730930400000,2491
43009.0,222.6717,222.81,222.65,222.88,222.5,1730934000000,1275
33017.0,222.5837,222.65,222.4699,222.8125,222.4,1730937600000,1230
21754.0,223.3647,223.14,223.32,223.51,222.82,1730970000000,894
11021.0,223.2171,223.34,223.15,223.34,223.1,1730973600000,421
15363.0,223.0141,223.1,223.0,223.13,222.87,1730977200000,679
47318.0,223.283,222.94,223.42,223.55,222.94,1730980800000,1108
191514.0,223.5319,223.08,223.78,223.9392,222.7814,1730984400000,6043
6415429.0,225.6576,223.75,226.3,226.55,223.72,1730988000000,91533
5182589.0,225.7587,226.3,226.23,226.35,225.35,1730991600000,111383
3501956.0,226.3728,226.23,227.07,227.1,225.78,1730995200000,157492
2869995.0,227.2034,227.062,227.2,227.49,226.76,1730998800000,47150
2309382.0,226.9697,227.205,227.0989,227.26,226.745,1731002400000,41122
3184074.0,227.241,227.0999,227.505,227.51,226.79,1731006000000,50758
7141449.0,227.3999,227.5,227.69,227.875,226.75,1731009600000,106104
926409.0,227.5053,227.48,227.77,227.95,227.39,1731013200000,2522
394552.0,227.4831,227.71,227.6,227.75,227.48,1731016800000,738
16768.0,227.5168,227.5,227.4801,227.72,227.45,1731020400000,517
18945.0,227.6175,227.52,227.6,227.7198,227.5,1731024000000,638
17873.0,227.6532,227.75,227.79,227.81,227.5,1731056400000,912
29833.0,227.4044,227.82,227.06,228.0,227.0,1731060000000,1262
23161.0,227.4271,227.06,227.56,227.7,227.05,1731063600000,641
27352.0,227.5612,227.57,227.55,227.71,227.41,1731067200000,835
99927.0,227.5204,227.57,227.37,227.9,227.25,1731070800000,3968
4781711.0,227.8997,227.38,227.7699,228.66,226.78,1731074400000,65183
3974443.0,227.4633,227.78,226.51,228.1499,226.505,1731078000000,74369
3465529.0,226.9393,226.515,227.27,227.58,226.405,1731081600000,106062
2250685.0,227.1217,227.265,227.02,227.4565,226.75,1731085200000,117925
4583042.0,227.1387,227.03,227.5,227.61,226.79,1731088800000,48819
1800192.0,227.4857,227.495,227.44,227.68,227.23,1731092400000,37061
7945325.0,227.0807,227.435,227.16,227.72,226.72,1731096000000,76382
940514.0,226.999,226.96,227.18,227.39,226.96,1731099600000,1954
409700.0,226.9632,227.15,226.85,227.2584,226.85,1731103200000,917
9723.0,226.9073,226.88,226.96,226.9912,226.85,1731106800000,289
6757.0,226.958,226.96,226.96,226.98,226.8808,1731110400000,217
50088.0,226.6397,227.21,226.45,227.26,226.0,1731315600000,2285
12008.0,226.353,226.43,226.21,226.44,226.21,1731319200000,493
7544.0,226.1595,226.18,226.22,226.22,226.1,1731322800000,357
70375.0,226.2262,226.3,226.22,226.4,226.02,1731326400000,1765
258618.0,226.1306,226.3104,225.9,227.69,225.75,1731330000000,8818
7615165.0,224.1731,225.9,222.9,226.06,222.77,1731333600000,119057
6165031.0,223.1245,222.9,222.75,223.72,222.74,1731337200000,103565
4531991.0,222.9169,222.755,222.78,223.35,222.66,1731340800000,68349
4115313.0,222.1801,222.78,221.86,222.88,221.7,1731344400000,67239
3237401.0,222.2301,221.86,222.9,222.99,221.5,1731348000000,51525
2232583.0,223.0156,222.9085,223.045,223.18,222.84,1731351600000,40460
5464268.0,223.8061,223.05,224.25,224.35,223.015,1731355200000,79769
583470.0,224.2101,224.23,224.25,224.5,224.12,1731358800000,2746
521381.0,224.2114,224.25,224.03,224.3,224.0127,1731362400000,970
23800.0,224.0371,224.05,224.11,224.1475,223.9,1731366000000,1189
34422.0,223.7662,224.0001,223.77,224.04,223.45,1731369600000,1137
38499.0,223.3694,223.2,223.2,223.75,223.01,1731402000000,1758
44930.0,223.7131,223.28,223.97,224.0,223.28,1731405600000,1651
16327.0,223.9311,223.99,224.19,224.19,223.61,1731409200000,463
54298.0,224.2211,224.19,224.23,224.5,223.86,1731412800000,1278
147055.0,224.263,224.25,224.5,224.7,223.45,1731416400000,4738
4354019.0,224.1965,224.521,224.25,225.04,223.55,1731420000000,68989
4182169.0,224.2964,224.25,224.6,225.03,223.66,1731423600000,74707
4468771.0,225.1048,224.59,224.97,225.59,224.53,1731427200000,61233
3514111.0,224.3515,224.9695,223.4199,225.07,223.386,1731430800000,56206
2620847.0,224.1023,223.42,224.1498,224.6,223.355,1731434400000,45686
2181908.0,224.523,224.13,224.53,224.77,224.13,1731438000000,43768
6780445.0,224.3912,224.53,224.24,224.82,223.9404,1731441600000,93690
3120579.0,224.2168,224.23,224.0,224.31,223.81,1731445200000,2255
21368.0,224.1443,223.98,224.19,224.35,223.98,1731448800000,462
50493.0,224.2081,224.2,224.2,224.2736,224.01,1731452400000,367
11101.0,224.116,224.19,224.09,224.2,224.01,1731456000000,371
12415.0,223.804,223.88,223.75,224.05,223.57,1731488400000,609
5441.0,223.6764,223.83,223.59,223.84,223.55,1731492000000,188
8499.0,223.3371,223.59,223.15,223.59,223.12,1731495600000,295
34381.0,223.3838,223.3,223.52,223.55,223.2,1731499200000,840
2862219.0,224.1974,223.35,223.52,224.18,223.27,1731502800000,4666
4563196.0,223.7799,223.5,223.54,225.2099,222.76,1731506400000,72848
4533692.0,223.7913,223.55,224.05,224.31,223.15,1731510000000,76995
3419438.0,224.2715,224.05,224.55,224.6,223.77,1731513600000,52743
4126317.0,225.5977,224.555,226.521,226.61,224.555,1731517200000,56601
3119837.0,226.2027,226.53,226.025,226.65,225.82,1731520800000,46415
2544391.0,225.8311,226.03,225.43,226.23,225.34,1731524400000,49439
6803312.0,225.2788,225.42,225.22,225.93,224.42,1731528000000,97925
1924230.0,225.1233,225.12,225.27,225.5,224.92,1731531600000,1900
9489.0,225.16,225.3,225.0503,225.3,225.05,1731535200000,406
16748.0,225.0123,225.14,224.9699,225.15,224.95,1731538800000,411
19007.0,224.8894,224.9,224.73,224.9898,224.73,1731542400000,451
23467.0,224.5678,224.85,224.22,224.85,224.18,1731574800000,868
8631.0,224.3945,224.23,224.42,224.51,224.23,1731578400000,214
16637.0,224.6682,224.51,224.6,224.88,224.42,1731582000000,405
28331.0,224.8758,224.8,224.7,225.06,224.61,1731585600000,794
903534.0,225.0759,225.0,224.75,225.0999,224.22,1731589200000,3802
4531985.0,225.8521,224.75,225.7215,226.48,224.51,1731592800000,77796
5467311.0,226.1906,225.72,226.53,227.03,225.05,1731596400000,87429
2949881.0,226.7277,226.52,226.7401,227.09,226.35,1731600000000,48223
3790294.0,227.4045,226.75,227.925,228.23,226.5122,1731603600000,59572
3197755.0,228.319,227.925,228.06,228.71,227.83,1731607200000,51011
3177701.0,228.4974,228.05,228.27,228.87,228.03,1731610800000,53229
8067712.0,227.8064,228.275,228.19,228.38,226.98,1731614400000,101483
1791878.0,228.2047,228.22,227.81,228.25,227.51,1731618000000,2000
40732.0,227.9082,227.81,227.8219,228.22,227.6044,1731621600000,823
24111.0,227.5949,227.71,227.5,227.78,227.5,1731625200000,536
22976.0,227.5129,227.47,227.42,227.58,227.36,1731628800000,364
45263.0,226.2188,226.9,225.99,226.9,225.6,1731661200000,925
14702.0,225.8626,226.05,225.95,226.05,225.73,1731664800000,474
20616.0,226.2821,225.99,226.26,226.48,225.98,1731668400000,401
37694.0,226.5027,226.41,226.72,226.73,226.25,1731672000000,791
128416.0,226.3192,226.4,226.0902,228.22,225.799,1731675600000,3697
9089817.0,225.9174,226.05,225.07,226.92,224.85,1731679200000,78440
4780606.0,224.8375,225.065,224.62,225.3,224.44,1731682800000,85029
3272556.0,225.0027,224.63,225.1,225.48,224.46,1731686400000,52075
3895175.0,224.7264,225.1,224.73,225.18,224.27,1731690000000,46447
3472351.0,224.6298,224.735,224.665,224.95,224.45,1731693600000,42124
2727134.0,224.6457,224.67,224.825,224.96,224.3,1731697200000,43240
6183973.0,224.9686,224.825,224.92,225.31,224.5699,1731700800000,91357
1263353.0,225.011,225.0,225.01,225.2005,224.98,1731704400000,1732
583623.0,225.0005,225.02,225.1,225.1,225.0,1731708000000,548
8651.0,225.1082,225.07,225.03,225.2,225.03,1731711600000,229
9151.0,225.1507,225.04,225.26,225.26,225.03,1731715200000,201
13388.0,225.1576,226.0,225.21,226.0,224.84,1731920400000,745
12079.0,225.2042,225.26,225.38,225.38,225.0,1731924000000,350
4494.0,225.3731,225.35,225.55,225.55,225.21,1731927600000,158
40425.0,225.8072,225.62,225.7,226.0,225.52,1731931200000,1020
106170.0,225.5033,225.9,225.69,226.31,224.438,1731934800000,3912
5141429.0,226.4339,225.629,226.82,227.2,225.01,1731938400000,78540
5335692.0,228.0435,226.85,228.43,228.921,226.73,1731942000000,85158
3982803.0,228.6996,228.41,228.54,229.21,228.36,1731945600000,55556
2366237.0,228.8761,228.53,229.602,229.6188,228.36,1731949200000,41228
3079061.0,229.2843,229.605,229.446,229.74,228.67,1731952800000,45351
2705087.0,228.9196,229.44,228.855,229.44,228.6961,1731956400000,39344
5564926.0,228.0678,228.85,227.99,228.92,227.3,1731960000000,78328
1291782.0,228.029,228.02,228.4,228.6,227.9,1731963600000,2053
63923.0,228.4611,228.37,228.2412,228.85,228.02,1731967200000,868
25998.0,227.8563,228.2,227.85,228.2,227.42,1731970800000,548
12992.0,228.0103,227.85,228.06,228.31,227.6862,1731974400000,384
38802.0,227.2786,228.08,227.05,228.19,226.73,1732006800000,830
13080.0,227.3645,227.01,227.69,227.7,226.95,1732010400000,236
7112.0,227.6218,227.62,227.73,227.76,227.5,1732014000000,213
51649.0,227.7783,227.79,227.84,228.22,227.0,1732017600000,950
135522.0,227.0388,227.99,225.87,228.87,225.87,1732021200000,4655
4075849.0,227.6809,225.89,228.435,228.55,225.38,1732024800000,61282
3442648.0,228.7414,228.43,229.05,229.45,228.03,1732028400000,58685
2550193.0,229.3641,229.06,229.34,229.6799,229.05,1732032000000,42123
4855249.0,229.5749,229.34,229.4,230.16,229.19,1732035600000,45109
2371402.0,229.6407,229.39,229.935,229.965,229.24,1732039200000,32849
2581111.0,229.2888,229.94,228.79,229.99,228.6527,1732042800000,39355
5357426.0,228.3133,228.78,228.3,228.88,227.72,1732046400000,72876
1551718.0,228.2774,228.28,228.2,228.4,227.99,1732050000000,1597
18015.0,228.0334,228.18,228.05,228.27,228.0,1732053600000,470
13627.0,228.1325,228.05,228.0,228.28,228.0,1732057200000,334
21533.0,228.371,228.1,228.5,228.74,228.08,1732060800000,508
16207.0,227.918,227.83,227.76,228.25,227.76,1732093200000,445
7613.0,227.7385,227.79,227.63,228.01,227.5,1732096800000,224
10419.0,227.7349,227.78,227.71,227.85,227.64,1732100400000,187
39864.0,228.1826,227.76,228.47,228.47,227.76,1732104000000,769
1012366.0,228.2816,227.88,228.18,228.71,227.66,1732107600000,3420
4236410.0,228.7338,228.1,227.63,229.93,227.37,1732111200000,60206
3851510.0,226.9794,227.63,226.94,228.02,226.36,1732114800000,67942
3228987.0,226.6329,226.95,227.48,227.7,225.89,1732118400000,51246
2134858.0,227.0804,227.47,226.89,227.59,226.59,1732122000000,35177
1808834.0,226.7488,226.88,226.9163,227.14,226.38,1732125600000,32879
1827591.0,227.0233,226.91,227.4,227.46,226.61,1732129200000,29411
5280951.0,228.4384,227.4,229.0,229.0,227.22,1732132800000,68753
3495840.0,228.9795,229.0,228.94,229.15,228.0,1732136400000,3093
29470.0,228.5852,228.85,228.55,228.86,228.32,1732140000000,644
