v,vw,o,c,h,l,t,n
5281,1.2893,1.28968,1.28947,1.28994,1.2887,1730419200000,5281
7055,1.2895,1.2894,1.28961,1.29004,1.2887,1730422800000,7055
6957,1.2892,1.28963,1.2893,1.28964,1.2888,1730426400000,6957
5467,1.2896,1.28932,1.28986,1.29021,1.2887,1730430000000,5467
4319,1.2898,1.28985,1.28975,1.2901,1.2895,1730433600000,4319
6452,1.2892,1.28976,1.28885,1.2899,1.2883,1730437200000,6452
5751,1.2897,1.28886,1.28957,1.2901,1.2887,1730440800000,5751
7086,1.2897,1.28962,1.28982,1.29026,1.2891,1730444400000,7086
9835,1.2905,1.28975,1.29038,1.29184,1.2886,1730448000000,9835
7458,1.2912,1.29045,1.29096,1.29174,1.2902,1730451600000,7458
7196,1.2911,1.29093,1.29134,1.29154,1.2904,1730455200000,7196
7432,1.2914,1.29127,1.292,1.2923,1.2908,1730458800000,7432
13201,1.2944,1.29197,1.29536,1.29671,1.29138,1730462400000,13201
13153,1.2961,1.29534,1.29648,1.29801,1.2942,1730466000000,13153
13573,1.2967,1.29703,1.29665,1.29771,1.2957,1730469600000,13573
11187,1.2961,1.29664,1.2959,1.29679,1.29517,1730473200000,11187
9305,1.2953,1.29585,1.29564,1.2963,1.2945,1730476800000,9305
8527,1.2941,1.29554,1.29275,1.29576,1.2925,1730480400000,8527
9184,1.2928,1.29274,1.29263,1.29347,1.2921,1730484000000,9184
8268,1.2925,1.29262,1.29203,1.2931,1.2918,1730487600000,8268
7013,1.2918,1.29202,1.2926,1.2944,1.27494,1730491200000,7013
459,1.2962,1.29694,1.29619,1.29694,1.29594,1730671200000,459
1944,1.2956,1.2962,1.29521,1.2962,1.29488,1730674800000,1944
2842,1.2957,1.29522,1.29613,1.2966,1.29509,1730678400000,2842
4549,1.297,1.29614,1.29748,1.298,1.2959,1730682000000,4549
8017,1.2977,1.2975,1.29805,1.2982,1.297,1730685600000,8017
7709,1.2992,1.29805,1.29929,1.2999,1.29802,1730689200000,7709
4704,1.2991,1.2993,1.29888,1.29971,1.2987,1730692800000,4704
