v,vw,o,c,h,l,t,n
155,32.6954,32.6665,32.6725,32.7232,32.6395,1730419200000,155
156,32.7188,32.682100000000005,32.6737,32.7728,32.6584,1730422800000,156
156,32.6693,32.6948,32.6982,32.734,32.612899999999996,1730426400000,156
156,32.7212,32.705,32.7649,32.7649,32.6546,1730430000000,156
151,32.7755,32.7616,32.7746,32.811499999999995,32.756299999999996,1730433600000,151
154,32.7526,32.776,32.796,32.7982,32.7275,1730437200000,154
156,32.7684,32.819,32.689,32.8368,32.6859,1730440800000,156
153,32.6262,32.6842,32.6762,32.69,32.5543,1730444400000,153
154,32.8065,32.6662,32.8362,32.8692,32.6572,1730448000000,154
152,32.831,32.857200000000006,32.818200000000004,32.8882,32.7872,1730451600000,152
149,32.7964,32.8152,32.8392,32.8432,32.7382,1730455200000,149
156,32.8343,32.858200000000004,32.8362,32.877199999999995,32.7982,1730458800000,156
154,32.8053,32.8302,32.8082,32.9375,32.7108,1730462400000,154
156,33.0093,32.806200000000004,33.0062,33.1012,32.7972,1730466000000,156
156,32.7574,33.0752,32.7279,33.0752,32.4912,1730469600000,156
156,32.7211,32.7231,32.6824,32.8172,32.6392,1730473200000,156
156,32.607,32.6632,32.5734,32.6982,32.5282,1730476800000,156
156,32.5176,32.595800000000004,32.4385,32.615700000000004,32.4154,1730480400000,156
155,32.416,32.4193,32.4174,32.4609,32.3604,1730484000000,155
156,32.3944,32.4271,32.392,32.4502,32.3343,1730487600000,156
154,32.4283,32.398799999999994,32.4432,32.4653,32.3794,1730491200000,154
1,32.4432,32.4432,32.4432,32.4432,32.4432,1730671200000,1
118,32.4553,32.4005,32.4812,32.5388,32.2848,1730674800000,118
156,32.5485,32.520199999999996,32.6092,32.6092,32.4812,1730678400000,156
156,32.5798,32.6062,32.5599,32.6532,32.4993,1730682000000,156
155,32.5225,32.5492,32.579100000000004,32.5992,32.4616,1730685600000,155
155,32.6543,32.5857,32.6762,32.708,32.576299999999996,1730689200000,155
153,32.704,32.6642,32.7072,32.7307,32.6632,1730692800000,153
156,32.6567,32.7032,32.774300000000004,32.774300000000004,32.6123,1730696400000,156
156,32.747,32.7572,32.8104,32.8126,32.6737,1730700000000,156
156,32.7234,32.7902,32.5922,32.8504,32.5709,1730703600000,156
147,32.6671,32.6022,32.6572,32.7342,32.6022,1730707200000,147
155,32.7557,32.6562,32.8192,32.8342,32.6192,1730710800000,155
149,32.7751,32.8042,32.7652,32.8512,32.7302,1730714400000,149
151,32.7577,32.7532,32.8052,32.8052,32.7088,1730718000000,151
153,32.8185,32.806200000000004,32.813199999999995,32.8692,32.7842,1730721600000,153
151,32.727,32.828199999999995,32.7612,32.8612,32.5592,1730725200000,151
151,32.5886,32.7012,32.5076,32.7622,32.489200000000004,1730732400000,151
155,32.4533,32.5139,32.3172,32.5327,32.306200000000004,1730736000000,155
154,32.4157,32.370200000000004,32.525,32.525,32.301199999999994,1730739600000,154
156,32.4942,32.5142,32.4777,32.5407,32.457,1730743200000,156
154,32.4822,32.4832,32.473200000000006,32.5113,32.4572,1730746800000,154
148,32.4891,32.4622,32.5002,32.5262,32.453199999999995,1730750400000,148
141,32.4592,32.493199999999995,32.4442,32.4992,32.4345,1730754000000,141
3,32.4486,32.4442,32.444500000000005,32.4572,32.4442,1730757600000,3
85,32.368,32.4816,32.368,32.5147,32.256,1730772000000,85
156,32.427,32.368500000000004,32.4786,32.5002,32.3393,1730775600000,156
154,32.4752,32.4809,32.454,32.4962,32.439499999999995,1730779200000,154
154,32.4719,32.452999999999996,32.4306,32.5,32.4185,1730782800000,154
156,32.4919,32.4272,32.5145,32.561,32.4022,1730786400000,156
154,32.5491,32.515100000000004,32.4872,32.6032,32.4742,1730790000000,154
149,32.5228,32.4792,32.6502,32.6502,32.416199999999996,1730793600000,149
156,32.6361,32.6512,32.6046,32.6682,32.600500000000004,1730797200000,156
155,32.5993,32.6134,32.6232,32.6387,32.5548,1730800800000,155
154,32.6437,32.632600000000004,32.634100000000004,32.666900000000005,32.6188,1730804400000,154
154,32.6107,32.6513,32.5752,32.658300000000004,32.5752,1730808000000,154
155,32.7182,32.5992,32.7462,32.8432,32.574200000000005,1730811600000,155
156,32.8125,32.7462,32.8699,32.9084,32.7462,1730815200000,156
156,32.7298,32.7782,32.75,32.8733,32.6206,1730818800000,156
154,32.68,32.7494,32.6242,32.7512,32.601200000000006,1730822400000,154
155,32.6632,32.6273,32.6592,32.7512,32.585899999999995,1730826000000,155
156,32.6307,32.6441,32.608399999999996,32.6822,32.5809,1730829600000,156
154,32.6161,32.605199999999996,32.6199,32.657,32.5802,1730833200000,154
154,32.5989,32.5997,32.6282,32.6282,32.572199999999995,1730836800000,154
153,32.6485,32.6263,32.6492,32.6783,32.6162,1730840400000,153
2,32.6485,32.6492,32.6477,32.6492,32.6477,1730844000000,2
150,32.6676,32.624,32.6962,32.7182,32.624,1730847600000,150
156,32.5262,32.6842,32.4317,32.6912,32.3512,1730851200000,156
155,32.4606,32.3651,32.549099999999996,32.6066,32.2778,1730854800000,155
156,32.4757,32.5526,32.321200000000005,32.5705,32.306200000000004,1730858400000,156
154,32.1641,32.2952,32.0852,32.3312,32.032199999999996,1730862000000,154
155,32.2316,32.0811,32.3288,32.3502,32.0782,1730865600000,155
156,32.254,32.324400000000004,32.2568,32.3362,32.1153,1730869200000,156
156,31.9043,32.2538,31.610699999999998,32.2538,31.4745,1730872800000,156
156,31.9218,31.5842,32.0295,32.0699,31.5842,1730876400000,156
155,32.2034,32.0343,32.2734,32.3609,31.9727,1730880000000,155
156,32.2433,32.288399999999996,32.2991,32.3114,32.1182,1730883600000,156
148,32.2237,32.2923,32.1491,32.2977,32.143100000000004,1730887200000,148
156,32.0015,32.1417,31.766900000000003,32.205400000000004,31.7215,1730890800000,156
155,31.8212,31.7627,31.790200000000002,31.9456,31.6402,1730894400000,155
155,31.2561,31.6452,31.070100000000004,31.6552,30.9597,1730898000000,155
154,30.9669,31.0725,30.9832,31.126900000000003,30.844199999999997,1730901600000,154
153,31.2117,30.9968,31.369200000000003,31.3942,30.9109,1730905200000,153
154,31.1825,31.4102,31.2088,31.4102,31.0439,1730908800000,154
156,31.1494,31.2158,31.098200000000002,31.2158,31.0823,1730912400000,156
155,31.1978,31.095000000000002,31.236500000000003,31.261300000000002,31.095000000000002,1730916000000,155
154,31.2343,31.241300000000003,31.195800000000002,31.281,31.1912,1730919600000,154
149,31.1445,31.2056,31.1802,31.218200000000003,31.0692,1730923200000,149
149,31.1713,31.184299999999997,31.1728,31.198100000000004,31.143600000000003,1730926800000,149
2,31.1726,31.1728,31.172400000000003,31.1728,31.172400000000003,1730930400000,2
148,31.1747,31.125799999999998,31.165899999999997,31.225099999999998,31.125799999999998,1730934000000,148
156,31.1946,31.171599999999998,31.1377,31.241,31.124299999999998,1730937600000,156
156,31.0404,31.105300000000003,31.0282,31.199399999999997,30.9345,1730941200000,156
156,31.1009,31.061300000000003,31.1094,31.1822,31.017999999999997,1730944800000,156
154,31.0873,31.1141,31.0658,31.145,31.049,1730948400000,154
153,30.9956,31.0843,30.963700000000003,31.0843,30.8712,1730952000000,153
155,31.0721,30.964,31.1191,31.1418,30.963700000000003,1730955600000,155
156,31.0589,31.119,31.0767,31.1276,30.9342,1730959200000,156
154,31.151,31.0832,31.1955,31.226499999999998,31.0432,1730962800000,154
154,31.1337,31.162800000000004,31.045199999999998,31.2205,31.045199999999998,1730966400000,154
156,31.1278,31.0602,31.1032,31.189199999999996,31.0602,1730970000000,156
154,31.1351,31.098200000000002,31.1382,31.194100000000002,31.0842,1730973600000,154
155,31.0794,31.1512,31.086100000000002,31.1512,31.029199999999996,1730977200000,155
