v,vw,o,c,h,l,t,n
155,2746.1623,2746.81,2745.21,2747.1299999999997,2744.1,1730419200000,155
155,2747.0233,2745.21,2749.42,2749.81,2745.21,1730422800000,155
154,2747.8719,2749.57,2748.71,2750.8,2746.02,1730426400000,154
154,2749.5088,2748.96,2751.71,2751.71,2747.56,1730430000000,154
159,2751.5789,2751.71,2752.14,2752.69,2750.2000000000003,1730433600000,159
154,2752.8622,2752.2799999999997,2754.86,2754.88,2751.89,1730437200000,154
153,2753.9122,2755.18,2751.99,2757.31,2751.33,1730440800000,153
152,2749.8128,2751.9,2749.57,2752.7000000000003,2747.16,1730444400000,152
156,2752.5801,2749.0699999999997,2753.27,2754.91,2748.82,1730448000000,156
155,2752.2935,2753.87,2751.54,2755.1600000000003,2748.3,1730451600000,155
153,2748.8258,2751.29,2749.44,2751.6800000000003,2744.86,1730455200000,153
156,2752.2592,2750.0499999999997,2752.7000000000003,2753.83,2749.5899999999997,1730458800000,156
154,2754.2171,2753.14,2753.57,2759.53,2750.4,1730462400000,154
150,2757.6091,2754.17,2755.88,2761.4900000000002,2752.67,1730466000000,150
149,2750.059,2758.1200000000003,2747.34,2758.22,2740.09,1730469600000,149
149,2746.6956,2747.21,2744.64,2749.87,2743.1200000000003,1730473200000,149
156,2743.5352,2744.3399999999997,2742.3999999999996,2745.94,2740.46,1730476800000,156
154,2739.3166,2743.58,2736.31,2743.58,2735.04,1730480400000,154
157,2736.0716,2735.88,2736.65,2737.96,2733.2000000000003,1730484000000,157
155,2734.9608,2736.42,2734.46,2736.9,2733.62,1730487600000,155
151,2734.3415,2734.42,2735.91,2736.25,2733.29,1730491200000,151
1,2746.7,2746.7,2746.7,2746.7,2746.7,1730671200000,1
130,2737.5938,2735.0800000000004,2738.2,2740.18,2730.9100000000003,1730674800000,130
168,2738.6173,2738.69,2740.09,2740.37,2736.2,1730678400000,168
159,2738.2265,2739.7799999999997,2739.75,2741.0299999999997,2735.2,1730682000000,159
158,2738.6816,2738.89,2739.82,2740.56,2736.0,1730685600000,158
153,2740.9692,2740.02,2740.8900000000003,2742.2799999999997,2738.6,1730689200000,153
155,2741.0112,2740.59,2741.2599999999998,2741.89,2739.71,1730692800000,155
158,2740.4548,2741.05,2741.4,2743.3199999999997,2737.3,1730696400000,158
158,2738.1715,2741.21,2741.37,2741.4,2735.8399999999997,1730700000000,158
155,2739.9152,2741.0,2735.9900000000002,2744.56,2735.0800000000004,1730703600000,155
153,2735.7219,2735.3799999999997,2733.29,2738.03,2732.15,1730707200000,153
150,2739.0691,2734.15,2743.23,2743.77,2732.79,1730710800000,150
156,2741.5835,2743.72,2738.56,2745.0,2736.1,1730714400000,156
153,2738.8119,2738.67,2740.68,2740.77,2736.61,1730718000000,153
156,2741.576,2740.7599999999998,2742.9500000000003,2743.71,2739.48,1730721600000,156
152,2743.1587,2743.36,2745.81,2745.9100000000003,2739.57,1730725200000,152
152,2741.6006,2742.27,2738.0,2745.89,2737.8700000000003,1730732400000,152
155,2736.2161,2738.1600000000003,2733.11,2738.51,2732.42,1730736000000,155
152,2735.6856,2735.07,2738.3300000000004,2738.36,2732.21,1730739600000,152
155,2737.5439,2737.6099999999997,2738.08,2739.06,2735.67,1730743200000,155
157,2738.4383,2738.21,2738.2200000000003,2739.49,2737.1,1730746800000,157
158,2737.1507,2737.37,2737.72,2738.26,2735.8,1730750400000,158
153,2736.4165,2737.3799999999997,2736.24,2737.72,2734.8,1730754000000,153
4,2736.165,2736.24,2736.34,2736.38,2735.7000000000003,1730757600000,4
83,2728.6452,2733.5099999999998,2728.77,2736.06,2724.9300000000003,1730772000000,83
154,2731.1127,2728.5299999999997,2735.2400000000002,2735.66,2727.68,1730775600000,154
156,2734.9863,2735.2799999999997,2734.3900000000003,2736.1,2733.17,1730779200000,156
155,2735.0774,2734.38,2732.49,2737.0299999999997,2731.95,1730782800000,155
155,2735.3343,2732.28,2737.79,2738.6,2731.7200000000003,1730786400000,155
157,2738.5233,2737.25,2736.25,2741.15,2735.0,1730790000000,157
156,2736.7355,2735.5099999999998,2742.64,2743.1,2732.18,1730793600000,156
158,2742.1932,2742.79,2739.08,2744.84,2738.87,1730797200000,158
154,2737.7786,2739.8,2737.56,2739.88,2735.73,1730800800000,154
154,2740.4573,2738.41,2742.1,2742.7,2737.65,1730804400000,154
158,2740.4208,2742.56,2737.85,2742.88,2737.57,1730808000000,158
154,2741.0764,2737.57,2745.04,2746.3399999999997,2736.6200000000003,1730811600000,154
157,2745.3341,2744.58,2746.63,2749.7,2742.07,1730815200000,157
155,2738.0829,2742.97,2742.07,2746.63,2733.29,1730818800000,155
155,2739.9192,2742.48,2738.78,2744.31,2736.5,1730822400000,155
153,2741.6603,2738.96,2742.24,2743.57,2738.19,1730826000000,153
154,2741.1619,2741.95,2741.27,2743.7599999999998,2739.48,1730829600000,154
157,2740.8594,2741.44,2740.71,2742.0499999999997,2738.9,1730833200000,157
154,2741.2577,2739.94,2743.23,2743.31,2739.61,1730836800000,154
155,2743.7808,2743.04,2743.62,2744.75,2742.2000000000003,1730840400000,155
2,2743.53,2743.62,2743.44,2743.62,2743.44,1730844000000,2
154,2743.6834,2742.16,2745.46,2746.06,2742.16,1730847600000,154
158,2740.2833,2745.08,2737.95,2745.77,2735.53,1730851200000,158
153,2741.5782,2736.89,2746.74,2749.31,2733.11,1730854800000,153
155,2743.5519,2746.5699999999997,2737.8399999999997,2747.9100000000003,2736.81,1730858400000,155
153,2736.5669,2736.48,2734.02,2743.07,2731.65,1730862000000,153
149,2738.2614,2733.65,2741.75,2742.81,2733.56,1730865600000,149
156,2740.0919,2741.94,2739.0899999999997,2743.2400000000002,2736.2999999999997,1730869200000,156
153,2721.527,2738.8599999999997,2707.23,2738.8599999999997,2702.0699999999997,1730872800000,153
149,2722.5566,2707.19,2725.52,2731.03,2707.19,1730876400000,149
150,2728.0158,2726.29,2724.28,2733.06,2722.9700000000003,1730880000000,150
152,2722.3457,2724.49,2724.6400000000003,2728.3500000000004,2716.55,1730883600000,152
148,2723.4038,2724.29,2719.6800000000003,2726.79,2719.08,1730887200000,148
155,2712.6014,2719.93,2699.33,2722.4700000000003,2697.4900000000002,1730890800000,155
154,2701.1792,2698.62,2698.11,2707.36,2693.62,1730894400000,154
151,2674.1658,2692.96,2664.6800000000003,2694.0899999999997,2659.75,1730898000000,151
