o,c,h,l,t
19955.82821570009,20048.3879349053,20055.36044318014,19950.98571110724,1730466000000
20056.1023215416,20115.16761466905,20151.87929529222,20014.55130089014,1730469600000
20113.94053128684,20103.02038717624,20162.53625153521,20091.21218194838,1730473200000
20102.95901950912,20088.54021797858,20129.13445512072,20076.42785190462,1730476800000
20088.46971753321,20040.98723557772,20127.94316710633,20040.17916548053,1730480400000
20039.51684445895,20046.44164065421,20054.52072072015,20013.44901416164,1730484000000
20045.751454139,20032.15412634636,20081.31804921671,20004.6520513609,1730487600000
20031.3570014988,20033.14177682076,20033.14177682076,20031.3570014988,1730491200000
20011.54875249614,20014.20863254316,20018.24911897591,19898.56579200457,1730728800000
20016.52341426297,20067.22411666336,20085.10768722425,20003.31583043126,1730732400000
20067.45763077366,19961.1128830241,20106.9928115715,19942.31645825775,1730736000000
19961.09794931245,20011.30829018381,20025.84250744755,19919.17840362696,1730739600000
20011.27009730156,20028.85720542192,20052.66830732002,19973.00048634825,1730743200000
20029.8289619328,20019.95716874256,20047.58063055897,20010.03104506734,1730746800000
20020.04114815661,19966.57282201339,20020.69597174999,19954.25474580502,1730750400000
19966.37501312332,19963.60243440603,19966.37501312332,19963.60243440603,1730754000000
20042.926191717,20169.7940681259,20172.82638403999,20042.926191717,1730815200000
20172.64328513875,20139.23001452596,20192.8782395604,20130.49627897146,1730818800000
20139.07616372689,20219.69911744995,20224.68684429804,20120.18228974671,1730822400000
20219.7977544969,20231.61297778996,20249.20455985387,20208.806705228,1730826000000
20231.36237974439,20191.78388006297,20245.24537323897,20172.32802147731,1730829600000
20191.7721035379,20179.05073153265,20214.7767371113,20168.22989626942,1730833200000
20177.3900305904,20227.05043705203,20229.78002184635,20168.28015296637,1730836800000
20228.71147519434,20227.4564027995,20228.71147519434,20227.4564027995,1730840400000
20571.29469416267,20551.2883889827,20676.48319716882,20526.64124684151,1730901600000
20561.65734051336,20602.19718749739,20696.77260553883,20552.51040028061,1730905200000
20603.01065077544,20673.31197992488,20681.13250587902,20574.77197396892,1730908800000
20671.25362194259,20690.79544219377,20697.1853359351,20656.85162016809,1730912400000
20690.76427769923,20737.30422612077,20753.43311042993,20687.96509214681,1730916000000
20737.50943042738,20764.54815582013,20769.97075417865,20727.03028144348,1730919600000
20763.99278100515,20776.78713776441,20807.03445172862,20758.686101231,1730923200000
20787.85179521368,20781.3339968048,20787.85179521368,20781.3339968048,1730926800000
20896.4068041296,20994.17557454062,20994.26708535681,20896.4068041296,1730988000000
20994.72481522402,21038.54807465342,21044.55155398395,20972.67439679486,1730991600000
21038.93315435101,21073.8945742429,21076.60003220266,21010.08259440339,1730995200000
21074.06771904963,21072.91432519097,21076.39574783006,21042.14172607077,1730998800000
21073.02884756011,21061.31767884625,21073.95795993974,21034.09892599369,1731002400000
21061.17100969221,21109.88861580197,21109.88861580197,21045.16527346132,1731006000000
21110.71034823671,21101.63612227372,21132.79645867497,21084.45632328956,1731009600000
21105.05912004057,21101.56637805141,21105.05912004057,21101.56637805141,1731013200000
21083.57720526841,21102.92681843892,21125.05258079773,21067.47602695689,1731074400000
21104.20469480725,21087.20701353436,21118.4075232385,21050.31582548412,1731078000000
21087.43681110183,21109.47868659297,21123.42779143447,21060.82761949126,1731081600000
21109.52463042511,21108.80492445733,21119.46574621326,21087.6897639754,1731085200000
21108.780712415,21145.31626815724,21155.00152653391,21104.49871027656,1731088800000
21144.83431200326,21127.25773566007,21153.41466932662,21126.25565963651,1731092400000
21127.07695710649,21121.93227203407,21129.65815595503,21099.72476953226,1731096000000
21119.68419527395,21117.1790900579,21119.68419527395,21117.1790900579,1731099600000
21171.24293252471,21057.64601829822,21182.02491323876,21052.1580581033,1731333600000
21061.15127267226,21118.01598440668,21134.54616099942,21042.84588630459,1731337200000
21117.81495029067,21093.8345929103,21125.17735343272,21082.29341099676,1731340800000
21094.63284890629,21048.74285117881,21102.207704673,21047.4071188874,1731344400000
21044.74686348142,21071.5610680414,21084.23504636525,20993.48227857205,1731348000000
21070.97319845098,21064.29759162436,21073.58204597503,21046.88784938167,1731351600000
21064.41124653465,21111.79096247201,21111.79096247201,21061.06452728676,1731355200000
21107.39926740686,21106.59105707889,21107.39926740686,21106.59105707889,1731358800000
21105.4859538462,21133.84295580193,21144.67074187355,21068.8713031614,1731420000000
21134.45946863256,21073.2869260684,21136.31374689746,21070.44630892534,1731423600000
21074.26195584529,21046.3881602025,21095.37831789658,21034.07699239216,1731427200000
21045.82451759683,20957.99256437806,21058.08158549281,20957.99256437806,1731430800000
20958.02993574663,21069.74293294747,21084.53230251182,20946.73891413076,1731434400000
21068.95913210858,21076.61361218889,21097.88889674973,21064.88474390928,1731438000000
21076.57033279562,21072.71410715261,21092.30152656696,21057.94064682701,1731441600000
21071.58981000642,21070.79263387019,21071.58981000642,21070.79263387019,1731445200000
21049.65705346037,21030.85609498848,21073.29433567762,21013.87367987776,1731506400000
21034.30379697835,21007.03933161946,21034.30379697835,20955.23923636631,1731510000000
21006.98265317969,21056.48077395846,21064.38724726172,20984.15269304348,1731513600000
21056.24093133657,21118.10575280831,21120.6677921414,21050.24612035028,1731517200000
21118.58680652238,21145.27478497572,21154.93558459955,21101.20221404364,1731520800000
21145.17963970728,21070.16769771521,21145.52258402187,21057.87657179194,1731524400000
21068.94046078826,21041.14984481592,21105.34508500252,21011.8626796852,1731528000000
21036.89584078818,21036.16364503362,21036.89584078818,21036.16364503362,1731531600000
21052.0686785204,20981.73976874091,21067.65563515411,20958.35464818272,1731592800000
20984.11512274972,20986.13559021869,21031.06334020583,20940.45063488873,1731596400000
20985.43913363646,20992.81636203089,21028.51188285649,20981.92079189089,1731600000000
20993.08568707509,20973.84844962647,21001.42237312912,20910.49595919274,1731603600000
20973.12127783271,20922.39795104447,21008.68372292458,20918.83633683675,1731607200000
20922.05356279945,20957.96047479109,20978.74567885678,20920.8418708068,1731610800000
20957.85319825268,20898.71525477715,20958.04338440313,20864.02216229288,1731614400000
20897.84651577255,20896.67319871474,20897.84651577255,20896.67319871474,1731618000000
