v,vw,o,c,h,l,t,n
45004.0,410.6367,409.53,410.89,411.36,409.53,1730448000000,1853
28214.0,410.9281,411.0,410.5,411.47,410.19,1730451600000,991
24727.0,411.551,410.51,411.79,412.0,410.51,1730455200000,798
58683.0,410.7451,411.68,410.89,411.8,410.24,1730458800000,2249
272522.0,410.3272,410.72,409.66,411.77,406.35,1730462400000,8677
4651700.0,409.4583,409.77,410.37,411.69,407.5,1730466000000,88335
3324352.0,411.4411,410.47,413.385,413.43,409.5515,1730469600000,80520
2842257.0,414.5706,413.375,414.07,415.5,413.32,1730473200000,84617
1891554.0,413.9034,414.0,413.6999,414.95,413.11,1730476800000,68249
1369874.0,413.2249,413.71,412.68,414.5599,412.14,1730480400000,49807
1148687.0,412.062,412.67,412.14,413.07,411.36,1730484000000,33421
2642620.0,411.0781,412.135,410.01,412.85,409.84,1730487600000,67379
348222.0,410.3898,410.37,410.65,410.91,409.75,1730491200000,1427
24836.0,410.6285,410.7,410.55,410.88,410.42,1730494800000,616
11763.0,410.4379,410.4411,410.3,410.6891,410.3,1730498400000,420
5768.0,410.2087,410.3732,410.3,410.5,410.0371,1730502000000,178
19102.0,411.2281,411.91,411.24,411.91,410.15,1730710800000,668
3538.0,411.7594,411.37,411.95,411.95,411.37,1730714400000,156
7479.0,411.3334,411.74,411.0,411.74,411.0,1730718000000,418
40297.0,409.985,411.03,410.01,411.03,409.27,1730721600000,1832
87310.0,410.4424,410.4,410.0,412.0,409.3,1730725200000,3832
2702870.0,408.2621,409.85,409.1,410.22,405.5713,1730728800000,69880
1923237.0,409.601,409.075,409.67,410.415,408.55,1730732400000,48842
1812499.0,408.0636,409.705,406.61,409.86,406.11,1730736000000,74737
1327203.0,406.8197,406.65,407.17,407.48,405.87,1730739600000,72292
1189941.0,407.4998,407.11,407.7552,408.23,406.55,1730743200000,44488
1051464.0,408.0974,407.76,408.12,408.4,407.76,1730746800000,29154
2669071.0,408.0591,408.11,408.66,408.85,406.93,1730750400000,62337
461210.0,408.5026,408.46,409.25,409.3,408.4,1730754000000,1483
308231.0,408.4857,409.241,409.041,409.25,408.46,1730757600000,329
18217.0,409.1283,409.25,408.65,409.4,408.65,1730761200000,449
6120.0,408.6976,408.75,408.65,408.9074,408.59,1730764800000,193
3971.0,409.561,409.5,409.74,410.09,409.49,1730797200000,215
728.0,409.5767,409.5,409.71,409.71,409.5,1730800800000,28
4426.0,409.88,409.8,409.95,410.0,409.7,1730804400000,95
17629.0,409.5985,409.92,409.44,410.0,409.2,1730808000000,529
41924.0,409.6002,409.93,409.5,409.9999,408.95,1730811600000,1702
2337159.0,410.8738,409.31,412.875,412.92,408.05,1730815200000,46887
2050726.0,412.6011,412.82,411.74,413.53,411.52,1730818800000,46180
3296108.0,413.132,411.74,414.435,414.55,411.3859,1730822400000,34039
1371147.0,414.3091,414.4101,413.4433,414.9,413.21,1730826000000,27021
1261011.0,412.1963,413.42,411.68,413.77,411.1,1730829600000,30163
1048478.0,411.5807,411.67,411.31,412.36,410.96,1730833200000,27567
