v,vw,o,c,h,l,t,n
581265.0,135.1063,134.94,135.27,135.51,134.57,1730448000000,8588
290269.0,135.3886,135.29,135.25,135.59,135.16,1730451600000,4348
265835.0,135.4619,135.24,135.38,135.74,135.22,1730455200000,3841
816250.0,134.9278,135.37,134.91,135.39,134.61,1730458800000,9630
3566491.0,134.5938,134.93,134.31,135.6996,132.429,1730462400000,30860
34706677.0,135.3129,134.32,136.1622,136.585,134.06,1730466000000,253601
38547789.0,136.5825,136.19,136.65,137.31,135.4601,1730469600000,265375
24817750.0,136.4481,136.65,136.52,137.13,135.9005,1730473200000,190586
17601212.0,136.3401,136.51,135.7999,136.8,135.63,1730476800000,156747
17198214.0,135.8348,135.8,135.3709,136.4,135.31,1730480400000,135360
16191693.0,135.465,135.37,135.5697,135.85,134.95,1730484000000,108831
23166398.0,135.5958,135.56,135.43,136.08,135.03,1730487600000,169689
1529092.0,135.4199,135.38,135.42,135.5301,135.29,1730491200000,5848
5493270.0,137.1489,135.4,138.92,138.92,135.15,1730494800000,35272
4024698.0,139.3975,138.91,139.15,139.83,138.81,1730498400000,31939
1823592.0,139.2509,139.15,139.31,139.45,138.93,1730502000000,13305
1044791.0,138.937,139.3,138.43,139.88,138.27,1730710800000,14854
256361.0,138.5951,138.41,138.51,138.77,138.41,1730714400000,4498
337990.0,138.2493,138.51,138.33,138.53,138.0,1730718000000,5657
1360813.0,138.0801,138.33,137.83,138.75,137.37,1730721600000,14148
2967582.0,138.032,138.5,137.898,139.99,137.31,1730725200000,29148
36656369.0,137.1435,137.88,137.36,138.0,135.57,1730728800000,270470
28912112.0,137.3506,137.36,137.72,137.93,136.53,1730732400000,219168
26132765.0,138.2494,137.724,137.8127,138.96,137.555,1730736000000,212095
18971365.0,137.6278,137.8382,137.7762,138.08,137.03,1730739600000,174949
14148109.0,137.8645,137.77,138.13,138.29,137.32,1730743200000,124051
12935073.0,138.0295,138.13,137.78,138.3899,137.72,1730746800000,86692
24914392.0,136.8886,137.785,136.08,137.86,136.0,1730750400000,181113
4105837.0,136.2031,136.05,136.15,137.4851,135.9,1730754000000,14534
588715.0,136.0182,136.15,136.0,136.2,135.77,1730757600000,7159
355681.0,135.9909,136.1,136.01,136.2,135.85,1730761200000,4313
540120.0,135.7147,136.01,135.41,136.04,135.35,1730764800000,6196
375833.0,136.9043,136.24,137.1,137.37,136.17,1730797200000,6108
195985.0,137.016,137.05,137.07,137.18,136.8,1730800800000,2928
210280.0,137.3256,137.07,137.23,137.68,137.04,1730804400000,2974
613008.0,137.007,137.2,136.94,137.29,136.66,1730808000000,6459
1676961.0,136.9592,137.23,136.9101,137.26,135.92,1730811600000,16250
26331351.0,138.2834,136.92,138.77,138.99,136.79,1730815200000,185646
25684939.0,139.0617,138.82,139.08,139.48,138.63,1730818800000,232505
19989708.0,139.7288,139.07,140.365,140.37,138.88,1730822400000,201826
17168370.0,139.7863,140.37,139.665,140.3701,139.35,1730826000000,121199
13355086.0,139.5309,139.67,139.275,139.97,139.08,1730829600000,96800
13288998.0,139.689,139.275,139.425,140.0,139.275,1730833200000,97584
20998089.0,139.603,139.4299,139.91,139.95,139.1293,1730836800000,153717
4214647.0,139.8601,139.92,139.73,140.07,139.42,1730840400000,18445
451921.0,139.5908,139.73,139.65,139.75,139.48,1730844000000,5672
229796.0,139.6534,139.6301,139.69,139.77,139.52,1730847600000,2885
813412.0,140.0564,139.69,140.1601,140.3,139.69,1730851200000,6803
1088079.0,141.8786,142.12,142.38,142.39,141.03,1730883600000,18694
667570.0,142.1497,142.4,142.22,142.49,141.9,1730887200000,10272
956346.0,141.3684,142.2,140.23,142.33,140.17,1730890800000,13560
1930767.0,141.0918,140.23,141.19,141.5,140.23,1730894400000,16935
4331970.0,141.4999,140.6,142.1801,142.4796,140.45,1730898000000,42443
48639860.0,143.3186,142.18,142.87,144.63,141.76,1730901600000,369679
34546252.0,143.694,142.8706,143.88,144.31,142.87,1730905200000,294665
