key,symbol,marketFamily,timeframe,signalUtc,direction,referenceSetup,auditGoodOpportunity,baselineEntered,baselineNetR,a1Entered,a1NetR
SOL-USD|1h|2025-01-06T01:00:00+00:00|LONG,SOL-USD,CRYPTO_SPOT,1h,2025-01-06T01:00:00+00:00,LONG,PULLBACK,True,True,0.6594703837451311,False,0.0
SOL-USD|1h|2025-01-06T07:00:00+00:00|LONG,SOL-USD,CRYPTO_SPOT,1h,2025-01-06T07:00:00+00:00,LONG,PULLBACK,False,True,0.4288676484848715,True,-1.3351382336498405
SOL-USD|1h|2025-01-06T10:00:00+00:00|LONG,SOL-USD,CRYPTO_SPOT,1h,2025-01-06T10:00:00+00:00,LONG,PULLBACK,True,True,0.3553992161118492,True,1.3571480098403272
SOL-USD|1h|2025-01-06T12:00:00+00:00|LONG,SOL-USD,CRYPTO_SPOT,1h,2025-01-06T12:00:00+00:00,LONG,BREAKOUT,True,True,0.11975226549507868,False,0.0
SOL-USD|1h|2025-01-06T13:00:00+00:00|LONG,SOL-USD,CRYPTO_SPOT,1h,2025-01-06T13:00:00+00:00,LONG,BREAKOUT,False,True,0.1745417252883926,True,1.503464847075051
SOL-USD|1h|2025-01-06T14:00:00+00:00|LONG,SOL-USD,CRYPTO_SPOT,1h,2025-01-06T14:00:00+00:00,LONG,BREAKOUT,False,True,-1.051460128280573,False,0.0
SOL-USD|1h|2025-01-06T16:00:00+00:00|SHORT,SOL-USD,CRYPTO_SPOT,1h,2025-01-06T16:00:00+00:00,SHORT,SWEEP_RECLAIM,True,True,1.1868493606747093,False,0.0
SOL-USD|1h|2025-01-07T01:00:00+00:00|LONG,SOL-USD,CRYPTO_SPOT,1h,2025-01-07T01:00:00+00:00,LONG,PULLBACK,False,True,-1.2900780017820872,True,-1.322763458649713
SOL-USD|1h|2025-01-07T08:00:00+00:00|LONG,SOL-USD,CRYPTO_SPOT,1h,2025-01-07T08:00:00+00:00,LONG,SWEEP_RECLAIM,False,True,-1.3230039706821637,False,0.0
SOL-USD|1h|2025-01-07T12:00:00+00:00|LONG,SOL-USD,CRYPTO_SPOT,1h,2025-01-07T12:00:00+00:00,LONG,SWEEP_RECLAIM,False,True,-1.5993727386635581,False,0.0
SOL-USD|1h|2025-01-07T14:00:00+00:00|SHORT,SOL-USD,CRYPTO_SPOT,1h,2025-01-07T14:00:00+00:00,SHORT,BREAKOUT,True,True,0.0659798146831432,False,0.0
SOL-USD|1h|2025-01-07T15:00:00+00:00|SHORT,SOL-USD,CRYPTO_SPOT,1h,2025-01-07T15:00:00+00:00,SHORT,BREAKOUT,True,True,0.12861855841889686,False,0.0
SOL-USD|1h|2025-01-07T17:00:00+00:00|LONG,SOL-USD,CRYPTO_SPOT,1h,2025-01-07T17:00:00+00:00,LONG,SWEEP_RECLAIM,False,True,-1.458020102469325,False,0.0
SOL-USD|1h|2025-01-07T18:00:00+00:00|SHORT,SOL-USD,CRYPTO_SPOT,1h,2025-01-07T18:00:00+00:00,SHORT,BREAKOUT,True,True,0.2357702496434523,False,0.0
SOL-USD|1h|2025-01-07T19:00:00+00:00|SHORT,SOL-USD,CRYPTO_SPOT,1h,2025-01-07T19:00:00+00:00,SHORT,BREAKOUT,True,True,0.26506660812190713,False,0.0
SOL-USD|1h|2025-01-07T20:00:00+00:00|SHORT,SOL-USD,CRYPTO_SPOT,1h,2025-01-07T20:00:00+00:00,SHORT,BREAKOUT,True,True,0.27605567446748813,False,0.0
SOL-USD|1h|2025-01-07T21:00:00+00:00|SHORT,SOL-USD,CRYPTO_SPOT,1h,2025-01-07T21:00:00+00:00,SHORT,BREAKOUT,True,True,0.2353130514946815,False,0.0
SOL-USD|1h|2025-01-07T22:00:00+00:00|LONG,SOL-USD,CRYPTO_SPOT,1h,2025-01-07T22:00:00+00:00,LONG,SWEEP_RECLAIM,False,True,-1.204812484741169,False,0.0
SOL-USD|1h|2025-01-08T00:00:00+00:00|LONG,SOL-USD,CRYPTO_SPOT,1h,2025-01-08T00:00:00+00:00,LONG,SWEEP_RECLAIM,False,True,-1.593096593717108,False,0.0
SOL-USD|1h|2025-01-08T01:00:00+00:00|SHORT,SOL-USD,CRYPTO_SPOT,1h,2025-01-08T01:00:00+00:00,SHORT,BREAKOUT,True,True,0.35300664397042375,False,0.0
SOL-USD|1h|2025-01-08T03:00:00+00:00|SHORT,SOL-USD,CRYPTO_SPOT,1h,2025-01-08T03:00:00+00:00,SHORT,BREAKOUT,True,True,0.33995279992796207,False,0.0
SOL-USD|1h|2025-01-08T04:00:00+00:00|SHORT,SOL-USD,CRYPTO_SPOT,1h,2025-01-08T04:00:00+00:00,SHORT,BREAKOUT,True,True,0.35668540599718646,False,0.0
SOL-USD|1h|2025-01-08T05:00:00+00:00|SHORT,SOL-USD,CRYPTO_SPOT,1h,2025-01-08T05:00:00+00:00,SHORT,BREAKOUT,True,True,0.3527660263210624,False,0.0
SOL-USD|1h|2025-01-08T06:00:00+00:00|SHORT,SOL-USD,CRYPTO_SPOT,1h,2025-01-08T06:00:00+00:00,SHORT,BREAKOUT,False,True,0.2917895906661635,False,0.0
SOL-USD|1h|2025-01-08T07:00:00+00:00|LONG,SOL-USD,CRYPTO_SPOT,1h,2025-01-08T07:00:00+00:00,LONG,SWEEP_RECLAIM,True,True,-1.1484775806333953,False,0.0
SOL-USD|1h|2025-01-08T17:00:00+00:00|SHORT,SOL-USD,CRYPTO_SPOT,1h,2025-01-08T17:00:00+00:00,SHORT,BREAKOUT,False,True,0.5974315418483529,False,0.0
SOL-USD|1h|2025-01-09T02:00:00+00:00|SHORT,SOL-USD,CRYPTO_SPOT,1h,2025-01-09T02:00:00+00:00,SHORT,PULLBACK,True,True,1.1022108371033166,False,0.0
SOL-USD|1h|2025-01-09T13:00:00+00:00|SHORT,SOL-USD,CRYPTO_SPOT,1h,2025-01-09T13:00:00+00:00,SHORT,BREAKOUT,False,True,-0.19732344808820285,False,0.0
SOL-USD|1h|2025-01-09T14:00:00+00:00|LONG,SOL-USD,CRYPTO_SPOT,1h,2025-01-09T14:00:00+00:00,LONG,SWEEP_RECLAIM,True,True,1.0840539571513677,False,0.0
SOL-USD|1h|2025-01-09T16:00:00+00:00|SHORT,SOL-USD,CRYPTO_SPOT,1h,2025-01-09T16:00:00+00:00,SHORT,PULLBACK,True,True,1.0474690985124433,False,0.0
SOL-USD|1h|2025-01-09T20:00:00+00:00|SHORT,SOL-USD,CRYPTO_SPOT,1h,2025-01-09T20:00:00+00:00,SHORT,BREAKOUT,False,True,-0.7733764840797447,False,0.0
SOL-USD|1h|2025-01-10T04:00:00+00:00|SHORT,SOL-USD,CRYPTO_SPOT,1h,2025-01-10T04:00:00+00:00,SHORT,PULLBACK,False,True,-1.2828972111684394,False,0.0
SOL-USD|1h|2025-01-10T13:00:00+00:00|SHORT,SOL-USD,CRYPTO_SPOT,1h,2025-01-10T13:00:00+00:00,SHORT,PULLBACK,True,True,-0.28513691852155393,False,0.0
SOL-USD|1h|2025-01-10T20:00:00+00:00|SHORT,SOL-USD,CRYPTO_SPOT,1h,2025-01-10T20:00:00+00:00,SHORT,PULLBACK,False,True,-0.18406142784313306,False,0.0
SOL-USD|1h|2025-01-11T13:00:00+00:00|SHORT,SOL-USD,CRYPTO_SPOT,1h,2025-01-11T13:00:00+00:00,SHORT,PULLBACK,False,True,-1.3270436617327248,False,0.0
SOL-USD|1h|2025-01-11T17:00:00+00:00|SHORT,SOL-USD,CRYPTO_SPOT,1h,2025-01-11T17:00:00+00:00,SHORT,PULLBACK,False,True,-1.1850901744927496,False,0.0
SOL-USD|1h|2025-01-12T00:00:00+00:00|SHORT,SOL-USD,CRYPTO_SPOT,1h,2025-01-12T00:00:00+00:00,SHORT,PULLBACK,False,True,0.23206322641515786,False,0.0
SOL-USD|1h|2025-01-12T03:00:00+00:00|SHORT,SOL-USD,CRYPTO_SPOT,1h,2025-01-12T03:00:00+00:00,SHORT,PULLBACK,False,True,0.1675254547588487,False,0.0
SOL-USD|1h|2025-01-12T09:00:00+00:00|LONG,SOL-USD,CRYPTO_SPOT,1h,2025-01-12T09:00:00+00:00,LONG,SWEEP_RECLAIM,True,True,1.2530669721217818,False,0.0
SOL-USD|1h|2025-01-12T22:00:00+00:00|SHORT,SOL-USD,CRYPTO_SPOT,1h,2025-01-12T22:00:00+00:00,SHORT,PULLBACK,False,True,-1.0891939978938865,False,0.0
SOL-USD|1h|2025-01-13T00:00:00+00:00|LONG,SOL-USD,CRYPTO_SPOT,1h,2025-01-13T00:00:00+00:00,LONG,BREAKOUT,False,True,-1.0812971289670172,False,0.0
SOL-USD|1h|2025-01-13T01:00:00+00:00|SHORT,SOL-USD,CRYPTO_SPOT,1h,2025-01-13T01:00:00+00:00,SHORT,PULLBACK,True,True,0.1970124518841117,False,0.0
SOL-USD|1h|2025-01-13T02:00:00+00:00|SHORT,SOL-USD,CRYPTO_SPOT,1h,2025-01-13T02:00:00+00:00,SHORT,BREAKOUT,True,True,0.22015995073000322,False,0.0
SOL-USD|1h|2025-01-13T03:00:00+00:00|LONG,SOL-USD,CRYPTO_SPOT,1h,2025-01-13T03:00:00+00:00,LONG,SWEEP_RECLAIM,False,True,-1.4256804712808646,False,0.0
SOL-USD|1h|2025-01-13T05:00:00+00:00|SHORT,SOL-USD,CRYPTO_SPOT,1h,2025-01-13T05:00:00+00:00,SHORT,BREAKOUT,True,True,0.33611100952324596,False,0.0
SOL-USD|1h|2025-01-13T06:00:00+00:00|SHORT,SOL-USD,CRYPTO_SPOT,1h,2025-01-13T06:00:00+00:00,SHORT,BREAKOUT,True,True,0.23800396089138492,False,0.0
SOL-USD|1h|2025-01-13T07:00:00+00:00|LONG,SOL-USD,CRYPTO_SPOT,1h,2025-01-13T07:00:00+00:00,LONG,SWEEP_RECLAIM,False,True,-1.3244690019008436,False,0.0
SOL-USD|1h|2025-01-13T08:00:00+00:00|SHORT,SOL-USD,CRYPTO_SPOT,1h,2025-01-13T08:00:00+00:00,SHORT,BREAKOUT,True,True,0.2510243627223925,False,0.0
SOL-USD|1h|2025-01-13T09:00:00+00:00|SHORT,SOL-USD,CRYPTO_SPOT,1h,2025-01-13T09:00:00+00:00,SHORT,BREAKOUT,True,True,0.2459115320750192,False,0.0
SOL-USD|1h|2025-01-13T10:00:00+00:00|SHORT,SOL-USD,CRYPTO_SPOT,1h,2025-01-13T10:00:00+00:00,SHORT,BREAKOUT,True,True,0.21419552702884329,False,0.0
SOL-USD|1h|2025-01-13T11:00:00+00:00|SHORT,SOL-USD,CRYPTO_SPOT,1h,2025-01-13T11:00:00+00:00,SHORT,BREAKOUT,False,True,0.26012701631216956,False,0.0
SOL-USD|1h|2025-01-13T12:00:00+00:00|SHORT,SOL-USD,CRYPTO_SPOT,1h,2025-01-13T12:00:00+00:00,SHORT,BREAKOUT,False,True,0.2560299906729701,False,0.0
SOL-USD|1h|2025-01-13T13:00:00+00:00|LONG,SOL-USD,CRYPTO_SPOT,1h,2025-01-13T13:00:00+00:00,LONG,SWEEP_RECLAIM,False,True,-1.1981711575494884,False,0.0
SOL-USD|1h|2025-01-13T14:00:00+00:00|LONG,SOL-USD,CRYPTO_SPOT,1h,2025-01-13T14:00:00+00:00,LONG,SWEEP_RECLAIM,True,True,0.80745331124971,False,0.0
SOL-USD|1h|2025-01-14T05:00:00+00:00|SHORT,SOL-USD,CRYPTO_SPOT,1h,2025-01-14T05:00:00+00:00,SHORT,SWEEP_RECLAIM,False,True,-1.2035450902809348,False,0.0
SOL-USD|1h|2025-01-14T06:00:00+00:00|SHORT,SOL-USD,CRYPTO_SPOT,1h,2025-01-14T06:00:00+00:00,SHORT,SWEEP_RECLAIM,False,True,-1.3868236830393734,False,0.0
SOL-USD|1h|2025-01-15T07:00:00+00:00|LONG,SOL-USD,CRYPTO_SPOT,1h,2025-01-15T07:00:00+00:00,LONG,BREAKOUT,False,True,-1.1212832900909917,False,0.0
SOL-USD|1h|2025-01-15T13:00:00+00:00|LONG,SOL-USD,CRYPTO_SPOT,1h,2025-01-15T13:00:00+00:00,LONG,BREAKOUT,False,True,0.360037103797472,False,0.0
SOL-USD|1h|2025-01-15T14:00:00+00:00|SHORT,SOL-USD,CRYPTO_SPOT,1h,2025-01-15T14:00:00+00:00,SHORT,SWEEP_RECLAIM,False,True,-1.2439259920280112,False,0.0
SOL-USD|1h|2025-01-15T15:00:00+00:00|LONG,SOL-USD,CRYPTO_SPOT,1h,2025-01-15T15:00:00+00:00,LONG,BREAKOUT,True,True,0.35038622081780885,False,0.0
SOL-USD|1h|2025-01-15T16:00:00+00:00|LONG,SOL-USD,CRYPTO_SPOT,1h,2025-01-15T16:00:00+00:00,LONG,BREAKOUT,True,True,0.30585050082096044,False,0.0
SOL-USD|1h|2025-01-15T17:00:00+00:00|SHORT,SOL-USD,CRYPTO_SPOT,1h,2025-01-15T17:00:00+00:00,SHORT,SWEEP_RECLAIM,False,True,-1.2111446298924542,False,0.0
SOL-USD|1h|2025-01-15T18:00:00+00:00|LONG,SOL-USD,CRYPTO_SPOT,1h,2025-01-15T18:00:00+00:00,LONG,BREAKOUT,True,True,0.2492677629960517,False,0.0
SOL-USD|1h|2025-01-15T19:00:00+00:00|LONG,SOL-USD,CRYPTO_SPOT,1h,2025-01-15T19:00:00+00:00,LONG,BREAKOUT,True,True,0.2395175010366225,False,0.0
SOL-USD|1h|2025-01-15T20:00:00+00:00|LONG,SOL-USD,CRYPTO_SPOT,1h,2025-01-15T20:00:00+00:00,LONG,BREAKOUT,False,True,0.22607626289498112,False,0.0
SOL-USD|1h|2025-01-15T22:00:00+00:00|SHORT,SOL-USD,CRYPTO_SPOT,1h,2025-01-15T22:00:00+00:00,SHORT,SWEEP_RECLAIM,True,True,-1.6007487823840512,False,0.0
SOL-USD|1h|2025-01-15T23:00:00+00:00|LONG,SOL-USD,CRYPTO_SPOT,1h,2025-01-15T23:00:00+00:00,LONG,BREAKOUT,False,True,0.28423999081734325,True,-1.201558245916733
SOL-USD|1h|2025-01-16T00:00:00+00:00|SHORT,SOL-USD,CRYPTO_SPOT,1h,2025-01-16T00:00:00+00:00,SHORT,SWEEP_RECLAIM,True,True,2.0710224977319736,False,0.0
SOL-USD|1h|2025-01-16T09:00:00+00:00|LONG,SOL-USD,CRYPTO_SPOT,1h,2025-01-16T09:00:00+00:00,LONG,PULLBACK,True,True,1.1142771616708453,True,1.5685642400166995
SOL-USD|1h|2025-01-16T11:00:00+00:00|LONG,SOL-USD,CRYPTO_SPOT,1h,2025-01-16T11:00:00+00:00,LONG,BREAKOUT,False,False,0.0,False,0.0
SOL-USD|1h|2025-01-16T12:00:00+00:00|LONG,SOL-USD,CRYPTO_SPOT,1h,2025-01-16T12:00:00+00:00,LONG,BREAKOUT,False,True,0.15721492677113805,False,0.0
SOL-USD|1h|2025-01-17T09:00:00+00:00|SHORT,SOL-USD,CRYPTO_SPOT,1h,2025-01-17T09:00:00+00:00,SHORT,SWEEP_RECLAIM,False,True,-1.3050957823633562,False,0.0
SOL-USD|1h|2025-01-17T10:00:00+00:00|LONG,SOL-USD,CRYPTO_SPOT,1h,2025-01-17T10:00:00+00:00,LONG,BREAKOUT,True,True,0.5584326528855833,True,2.656876756844807
SOL-USD|1h|2025-01-17T11:00:00+00:00|LONG,SOL-USD,CRYPTO_SPOT,1h,2025-01-17T11:00:00+00:00,LONG,BREAKOUT,False,True,0.4144815413131961,True,-1.191892147427293
SOL-USD|1h|2025-01-17T12:00:00+00:00|LONG,SOL-USD,CRYPTO_SPOT,1h,2025-01-17T12:00:00+00:00,LONG,BREAKOUT,False,True,0.35398562354444446,False,0.0
SOL-USD|1h|2025-01-17T13:00:00+00:00|LONG,SOL-USD,CRYPTO_SPOT,1h,2025-01-17T13:00:00+00:00,LONG,BREAKOUT,False,True,0.4276560891576621,False,0.0
SOL-USD|1h|2025-01-17T16:00:00+00:00|SHORT,SOL-USD,CRYPTO_SPOT,1h,2025-01-17T16:00:00+00:00,SHORT,SWEEP_RECLAIM,True,True,-1.3293200588541743,False,0.0
SOL-USD|1h|2025-01-18T02:00:00+00:00|LONG,SOL-USD,CRYPTO_SPOT,1h,2025-01-18T02:00:00+00:00,LONG,PULLBACK,True,True,0.7360483987254494,True,1.4710934183341164
SOL-USD|1h|2025-01-18T03:00:00+00:00|SHORT,SOL-USD,CRYPTO_SPOT,1h,2025-01-18T03:00:00+00:00,SHORT,SWEEP_RECLAIM,False,True,-1.0562175091683177,False,0.0
