key,symbol,marketFamily,timeframe,signalUtc,direction,referenceSetup,auditGoodOpportunity,baselineEntered,baselineNetR,archEntered,archNetR
ADA-USD|1h|2025-01-06T10:00:00+00:00|LONG,ADA-USD,CRYPTO_SPOT,1h,2025-01-06T10:00:00+00:00,LONG,SWEEP_RECLAIM,False,True,-1.401113590555924,False,0.0
ADA-USD|1h|2025-01-06T13:00:00+00:00|LONG,ADA-USD,CRYPTO_SPOT,1h,2025-01-06T13:00:00+00:00,LONG,SWEEP_RECLAIM,False,True,-1.2813886400210994,False,0.0
ADA-USD|1h|2025-01-06T14:00:00+00:00|LONG,ADA-USD,CRYPTO_SPOT,1h,2025-01-06T14:00:00+00:00,LONG,SWEEP_RECLAIM,True,True,0.23627621532925677,False,0.0
ADA-USD|1h|2025-01-06T16:00:00+00:00|SHORT,ADA-USD,CRYPTO_SPOT,1h,2025-01-06T16:00:00+00:00,SHORT,SWEEP_RECLAIM,True,True,-1.18367287312198,False,0.0
ADA-USD|1h|2025-01-07T11:00:00+00:00|SHORT,ADA-USD,CRYPTO_SPOT,1h,2025-01-07T11:00:00+00:00,SHORT,SWEEP_RECLAIM,True,True,1.2533795944081934,False,0.0
ADA-USD|1h|2025-01-07T16:00:00+00:00|LONG,ADA-USD,CRYPTO_SPOT,1h,2025-01-07T16:00:00+00:00,LONG,SWEEP_RECLAIM,False,True,-1.177766260995801,False,0.0
ADA-USD|1h|2025-01-07T22:00:00+00:00|LONG,ADA-USD,CRYPTO_SPOT,1h,2025-01-07T22:00:00+00:00,LONG,SWEEP_RECLAIM,False,True,-1.13186990238365,False,0.0
ADA-USD|1h|2025-01-08T00:00:00+00:00|LONG,ADA-USD,CRYPTO_SPOT,1h,2025-01-08T00:00:00+00:00,LONG,SWEEP_RECLAIM,False,True,-1.0662897335210122,False,0.0
ADA-USD|1h|2025-01-08T04:00:00+00:00|LONG,ADA-USD,CRYPTO_SPOT,1h,2025-01-08T04:00:00+00:00,LONG,SWEEP_RECLAIM,False,True,-1.3542528021733884,False,0.0
ADA-USD|1h|2025-01-08T07:00:00+00:00|LONG,ADA-USD,CRYPTO_SPOT,1h,2025-01-08T07:00:00+00:00,LONG,SWEEP_RECLAIM,True,True,-1.0923671920448872,False,0.0
ADA-USD|1h|2025-01-08T20:00:00+00:00|LONG,ADA-USD,CRYPTO_SPOT,1h,2025-01-08T20:00:00+00:00,LONG,SWEEP_RECLAIM,True,True,-1.1088782218388087,False,0.0
ADA-USD|1h|2025-01-09T07:00:00+00:00|LONG,ADA-USD,CRYPTO_SPOT,1h,2025-01-09T07:00:00+00:00,LONG,SWEEP_RECLAIM,False,True,-1.319733403174996,False,0.0
ADA-USD|1h|2025-01-09T14:00:00+00:00|LONG,ADA-USD,CRYPTO_SPOT,1h,2025-01-09T14:00:00+00:00,LONG,SWEEP_RECLAIM,True,True,1.9705503053719364,False,0.0
ADA-USD|1h|2025-01-10T08:00:00+00:00|SHORT,ADA-USD,CRYPTO_SPOT,1h,2025-01-10T08:00:00+00:00,SHORT,SWEEP_RECLAIM,True,True,1.556057381758946,False,0.0
ADA-USD|1h|2025-01-11T19:00:00+00:00|SHORT,ADA-USD,CRYPTO_SPOT,1h,2025-01-11T19:00:00+00:00,SHORT,SWEEP_RECLAIM,False,True,-1.3768289539452465,False,0.0
ADA-USD|1h|2025-01-12T02:00:00+00:00|SHORT,ADA-USD,CRYPTO_SPOT,1h,2025-01-12T02:00:00+00:00,SHORT,SWEEP_RECLAIM,True,True,1.7268089803770772,False,0.0
ADA-USD|1h|2025-01-12T23:00:00+00:00|LONG,ADA-USD,CRYPTO_SPOT,1h,2025-01-12T23:00:00+00:00,LONG,SWEEP_RECLAIM,True,True,1.0788215373171577,False,0.0
ADA-USD|1h|2025-01-13T04:00:00+00:00|LONG,ADA-USD,CRYPTO_SPOT,1h,2025-01-13T04:00:00+00:00,LONG,SWEEP_RECLAIM,False,True,-1.1767132518760557,False,0.0
