key,symbol,marketFamily,timeframe,signalUtc,direction,referenceSetup,auditGoodOpportunity,baselineEntered,baselineNetR,archEntered,archNetR
AVAX-USD|1h|2025-01-06T03:00:00+00:00|LONG,AVAX-USD,CRYPTO_SPOT,1h,2025-01-06T03:00:00+00:00,LONG,BREAKOUT,False,True,0.34103441561551684,False,0.0
AVAX-USD|1h|2025-01-06T04:00:00+00:00|LONG,AVAX-USD,CRYPTO_SPOT,1h,2025-01-06T04:00:00+00:00,LONG,BREAKOUT,False,True,0.4531275396678874,False,0.0
AVAX-USD|1h|2025-01-06T11:00:00+00:00|LONG,AVAX-USD,CRYPTO_SPOT,1h,2025-01-06T11:00:00+00:00,LONG,BREAKOUT,False,True,-1.0571353080288672,False,0.0
AVAX-USD|1h|2025-01-06T15:00:00+00:00|LONG,AVAX-USD,CRYPTO_SPOT,1h,2025-01-06T15:00:00+00:00,LONG,BREAKOUT,False,True,-1.0516580818555843,False,0.0
AVAX-USD|1h|2025-01-07T17:00:00+00:00|SHORT,AVAX-USD,CRYPTO_SPOT,1h,2025-01-07T17:00:00+00:00,SHORT,BREAKOUT,True,True,0.25176350182071655,False,0.0
AVAX-USD|1h|2025-01-07T18:00:00+00:00|SHORT,AVAX-USD,CRYPTO_SPOT,1h,2025-01-07T18:00:00+00:00,SHORT,BREAKOUT,True,True,0.22646674721420856,False,0.0
AVAX-USD|1h|2025-01-07T19:00:00+00:00|SHORT,AVAX-USD,CRYPTO_SPOT,1h,2025-01-07T19:00:00+00:00,SHORT,BREAKOUT,True,True,0.22881159795032607,False,0.0
AVAX-USD|1h|2025-01-07T20:00:00+00:00|SHORT,AVAX-USD,CRYPTO_SPOT,1h,2025-01-07T20:00:00+00:00,SHORT,BREAKOUT,False,True,0.11070952679599941,False,0.0
AVAX-USD|1h|2025-01-07T23:00:00+00:00|SHORT,AVAX-USD,CRYPTO_SPOT,1h,2025-01-07T23:00:00+00:00,SHORT,BREAKOUT,False,True,0.09298231924664355,False,0.0
AVAX-USD|1h|2025-01-08T03:00:00+00:00|SHORT,AVAX-USD,CRYPTO_SPOT,1h,2025-01-08T03:00:00+00:00,SHORT,BREAKOUT,True,True,0.4755310674380895,False,0.0
