symbol,marketFamily,timeframe,entryMode,setupClass,direction,regime,volState,auditGoodOpportunity,netR,grossR,mfeR,maeR,riskAtr,tp2R,exitType
BTC-USD,CRYPTO_SPOT,1h,trigger_close,PULLBACK,LONG,TREND_UP,NORMAL,True,0.0013525816867098472,0.16452610259142247,0.42225807739227983,0.01505484468766927,3.4093749981909056,0.16452610259142247,TP2
BTC-USD,CRYPTO_SPOT,1h,trigger_close,SWEEP_RECLAIM,SHORT,TREND_UP,NORMAL,False,-1.3732885643172643,-1.0,0.07096715345483179,1.213301325286787,1.4297031250111958,1.4195004058865601,STOP
BTC-USD,CRYPTO_SPOT,1h,retest_limit,SWEEP_RECLAIM,SHORT,TREND_UP,NORMAL,False,-1.3768707608538577,-1.0,0.08121703868685627,1.2153427642767463,1.4161496085358827,1.4122801630173376,STOP
BTC-USD,CRYPTO_SPOT,1h,trigger_close,BREAKOUT,LONG,TREND_UP,NORMAL,False,0.33616869806883826,0.45577539571193715,0.9857250111996465,0.42051408382050454,4.412159617814522,0.45577539571193715,TP2
BTC-USD,CRYPTO_SPOT,1h,retest_limit,BREAKOUT,LONG,TREND_UP,NORMAL,False,0.37671089430258964,0.5113874435166454,1.240218534368906,0.3462462916520457,3.910929033076469,0.5113874435166454,TP2
BTC-USD,CRYPTO_SPOT,1h,structure_confirmed_retest,BREAKOUT,LONG,TREND_UP,NORMAL,False,0.32421039495800835,0.4537929250905419,1.1548504123763088,0.37115891757275,4.0658672435817085,0.4537929250905419,TP2
BTC-USD,CRYPTO_SPOT,1h,trigger_close,BREAKOUT,LONG,TREND_UP,NORMAL,False,0.35787953052246224,0.47519185820176824,0.8779620463542503,0.4989115577839595,4.437804909142943,0.47519185820176824,TP2
BTC-USD,CRYPTO_SPOT,1h,retest_limit,BREAKOUT,LONG,TREND_UP,NORMAL,False,0.3615768719075637,0.4885554034400598,1.0358174962332136,0.45679167488817873,4.0937015247757325,0.4885554034400598,TP2
BTC-USD,CRYPTO_SPOT,1h,trigger_close,PULLBACK,LONG,TREND_UP,NORMAL,False,0.6084189846206663,0.9145668726650905,2.7825258327368534,0.7364898322176197,1.6980612691777217,0.9145668726650905,TP2
BTC-USD,CRYPTO_SPOT,1h,retest_limit,PULLBACK,LONG,TREND_UP,NORMAL,False,1.0201288208951949,2.111438366674491,12.561685472756851,0.05522336862606091,0.47361079337353085,2.111438366674491,TP2
BTC-USD,CRYPTO_SPOT,1h,trigger_close,PULLBACK,LONG,TREND_UP,NORMAL,False,0.7231867940937385,0.9547005317075643,1.8387099733263037,0.8134331317451046,2.097164947725875,0.9547005317075643,TP2
