timestamp,metric_time,sum_open_interest,sum_open_interest_value,count_toptrader_long_short_ratio,sum_toptrader_long_short_ratio,count_long_short_ratio,sum_taker_long_short_vol_ratio
2025-06-01 00:00:00+00:00,2025-06-01 00:00:00+00:00,4689716,97264709.84,2.31621481,1.74096,2.29609475,0.938242
2025-06-01 01:00:00+00:00,2025-06-01 01:00:00+00:00,4672490,96846700.23,2.29942916,1.747368,2.27340645,0.779635
2025-06-01 02:00:00+00:00,2025-06-01 02:00:00+00:00,4657233,95911540.6145,2.30449467,1.757893,2.26350064,1.492681
2025-06-01 03:00:00+00:00,2025-06-01 03:00:00+00:00,4652588,96029416.32,2.35859375,1.792577,2.25864256,1.186017
2025-06-01 04:00:00+00:00,2025-06-01 04:00:00+00:00,4660005,96243083.265,2.36155249,1.798869,2.26375892,0.778922
2025-06-01 05:00:00+00:00,2025-06-01 05:00:00+00:00,4676492,97748035.784,2.36862745,1.7766,2.2824634,2.079135
2025-06-01 06:00:00+00:00,2025-06-01 06:00:00+00:00,4684835,97177532.405,2.3830624,1.778051,2.29354582,0.391183
2025-06-01 07:00:00+00:00,2025-06-01 07:00:00+00:00,4697637,96828007.5522,2.41642384,1.779871,2.31183831,0.433656
2025-06-01 08:00:00+00:00,2025-06-01 08:00:00+00:00,4701022,96869259.332,2.41834571,1.770626,2.30962678,0.790859
2025-06-01 09:00:00+00:00,2025-06-01 09:00:00+00:00,4706813,96781488.906,2.4029497,1.775983,2.26837714,0.729464
2025-06-01 10:00:00+00:00,2025-06-01 10:00:00+00:00,4705157,95768765.578,2.42204515,1.788422,2.28235294,0.86694
2025-06-01 11:00:00+00:00,2025-06-01 11:00:00+00:00,4718628,96080703.336,2.40898283,1.794031,2.26698262,0.266206
2025-06-01 12:00:00+00:00,2025-06-01 12:00:00+00:00,4724136,96159788.28,2.41514912,1.801467,2.29216867,0.461879
2025-06-01 13:00:00+00:00,2025-06-01 13:00:00+00:00,4717548,95535064.548,2.40466824,1.813311,2.26114749,0.624896
2025-06-01 14:00:00+00:00,2025-06-01 14:00:00+00:00,4708283,96515093.217,2.38810642,1.813875,2.24212477,1.569026
2025-06-01 15:00:00+00:00,2025-06-01 15:00:00+00:00,4741608,97876272.336,2.36274256,1.789604,2.22235853,1.438222
2025-06-01 16:00:00+00:00,2025-06-01 16:00:00+00:00,4757089,98490770.656,2.3713102,1.772205,2.22924962,1.002548
2025-06-01 17:00:00+00:00,2025-06-01 17:00:00+00:00,4789406,99672328.266,2.36749482,1.771152,2.25501388,0.752387
2025-06-01 18:00:00+00:00,2025-06-01 18:00:00+00:00,4792041,99027527.265,2.39007277,1.747567,2.2653502,0.735664
2025-06-01 19:00:00+00:00,2025-06-01 19:00:00+00:00,4774189,98224164.486,2.37020725,1.750555,2.25721785,0.882863
2025-06-01 20:00:00+00:00,2025-06-01 20:00:00+00:00,4775276,98523494.432,2.3623936,1.755902,2.25069124,0.810456
2025-06-01 21:00:00+00:00,2025-06-01 21:00:00+00:00,4774166,98729752.88,2.37318841,1.763572,2.24456688,1.360643
2025-06-01 22:00:00+00:00,2025-06-01 22:00:00+00:00,4781991,100016766.99,2.37409326,1.762669,2.24682284,2.71318
2025-06-01 23:00:00+00:00,2025-06-01 23:00:00+00:00,4784565,99887363.505,2.37587549,1.758275,2.24716866,1.809848
2025-06-02 00:00:00+00:00,2025-06-02 00:00:00+00:00,4784507,99876583.625,2.36749482,1.765154,2.22873231,1.430244
2025-06-02 01:00:00+00:00,2025-06-02 01:00:00+00:00,4781754,99953003.862,2.35351713,1.765302,2.21175937,2.033912
2025-06-02 02:00:00+00:00,2025-06-02 02:00:00+00:00,4771642,98725272.98,2.35745671,1.765235,2.22857579,0.519291
2025-06-02 03:00:00+00:00,2025-06-02 03:00:00+00:00,4783093,98428780.6731,2.37271557,1.775088,2.21465413,0.266322
2025-06-02 04:00:00+00:00,2025-06-02 04:00:00+00:00,4777641,98405071.677,2.34071811,1.792145,2.18270384,1.675904
2025-06-02 05:00:00+00:00,2025-06-02 05:00:00+00:00,4778062,98174839.914,2.34292261,1.787839,2.16619466,1.537707
2025-06-02 06:00:00+00:00,2025-06-02 06:00:00+00:00,4778432,98633035.1098,2.30736366,1.776625,2.14399646,1.186894
2025-06-02 07:00:00+00:00,2025-06-02 07:00:00+00:00,4779622,99039282.9024,2.34400407,1.780461,2.19223854,2.110811
2025-06-02 08:00:00+00:00,2025-06-02 08:00:00+00:00,4777199,98767917.2209,2.35014006,1.771122,2.18958552,0.859707
2025-06-02 09:00:00+00:00,2025-06-02 09:00:00+00:00,4826788,99022403.404,2.30242439,1.744804,2.17007711,0.226333
2025-06-02 10:00:00+00:00,2025-06-02 10:00:00+00:00,4778780,97023570.34,2.34562564,1.763691,2.20117188,0.667129
2025-06-02 11:00:00+00:00,2025-06-02 11:00:00+00:00,4800637,97515339.381,2.36092715,1.77224,2.21654135,0.820693
2025-06-02 12:00:00+00:00,2025-06-02 12:00:00+00:00,4818902,97830743.8357,2.34116162,1.772641,2.20787942,1.305406
2025-06-02 13:00:00+00:00,2025-06-02 13:00:00+00:00,4836285,99124497.36,2.32579186,1.753435,2.20262022,1.133512
2025-06-02 14:00:00+00:00,2025-06-02 14:00:00+00:00,4850888,99302528.248,2.32753842,1.751098,2.20256372,0.955671
2025-06-02 15:00:00+00:00,2025-06-02 15:00:00+00:00,4862653,99290511.607,2.33518285,1.74779,2.20763723,1.162559
2025-06-02 16:00:00+00:00,2025-06-02 16:00:00+00:00,4871437,100101705.422,2.31214018,1.728647,2.18928519,1.260083
2025-06-02 17:00:00+00:00,2025-06-02 17:00:00+00:00,4855196,99585692.5683,2.33408862,1.735051,2.20187027,0.500951
2025-06-02 18:00:00+00:00,2025-06-02 18:00:00+00:00,4855227,99901150.752,2.34485368,1.745093,2.20789435,0.965921
2025-06-02 19:00:00+00:00,2025-06-02 19:00:00+00:00,4850321,100581143.876,2.29090005,1.733994,2.15371128,1.837651
2025-06-02 20:00:00+00:00,2025-06-02 20:00:00+00:00,4860187,100288089.225,2.30447836,1.729107,2.17940003,1.538846
2025-06-02 21:00:00+00:00,2025-06-02 21:00:00+00:00,4800653,99575144.526,2.36361323,1.765108,2.2320036,0.8058
2025-06-02 22:00:00+00:00,2025-06-02 22:00:00+00:00,4782359,100496492.026,2.33164685,1.799649,2.1892294,2.537352
2025-06-02 23:00:00+00:00,2025-06-02 23:00:00+00:00,4742722,100568871.846,2.32454361,1.799501,2.19849624,1.592074
2025-06-03 00:00:00+00:00,2025-06-03 00:00:00+00:00,4741907,100485751.237,2.37277189,1.79821,2.24053724,0.802631
2025-06-03 01:00:00+00:00,2025-06-03 01:00:00+00:00,4775156,102523423.846,2.40890052,1.789375,2.26879728,1.566409
2025-06-03 02:00:00+00:00,2025-06-03 02:00:00+00:00,4717962,102206770.753,2.49812634,1.805262,2.30653266,0.810689
