timestamp,metric_time,sum_open_interest,sum_open_interest_value,count_toptrader_long_short_ratio,sum_toptrader_long_short_ratio,count_long_short_ratio,sum_taker_long_short_vol_ratio
2025-06-01 00:00:00+00:00,2025-06-01 00:00:00+00:00,1842974.211,4650805068.1,2.41570106,3.230672,2.12310314,0.568015
2025-06-01 01:00:00+00:00,2025-06-01 01:00:00+00:00,1846743.317,4657394308.31,2.42853965,3.261157,2.12617199,0.884293
2025-06-01 02:00:00+00:00,2025-06-01 02:00:00+00:00,1828463.723,4570514632.3,2.51146697,3.302273,2.15761049,0.738735
2025-06-01 03:00:00+00:00,2025-06-01 03:00:00+00:00,1833603.02,4589141638.46,2.57508738,3.326227,2.20124525,0.851212
2025-06-01 04:00:00+00:00,2025-06-01 04:00:00+00:00,1838549.954,4618345556.95,2.57070996,3.291033,2.25864708,1.167121
2025-06-01 05:00:00+00:00,2025-06-01 05:00:00+00:00,1839571.924,4642097390.16,2.55947966,3.247253,2.26709761,0.881581
2025-06-01 06:00:00+00:00,2025-06-01 06:00:00+00:00,1843875.684,4638656497,2.54699643,3.228525,2.24944088,0.517581
2025-06-01 07:00:00+00:00,2025-06-01 07:00:00+00:00,1844428.104,4627170658.96,2.55497471,3.228679,2.23601882,0.648856
2025-06-01 08:00:00+00:00,2025-06-01 08:00:00+00:00,1844385.707,4617622499.9,2.57281111,3.221789,2.24653262,0.869634
2025-06-01 09:00:00+00:00,2025-06-01 09:00:00+00:00,1843764.236,4613264057.25,2.62245485,3.215182,2.30832157,0.698208
2025-06-01 10:00:00+00:00,2025-06-01 10:00:00+00:00,1853538.679,4613235986.79,2.69851182,3.207407,2.38151914,1.70976
2025-06-01 11:00:00+00:00,2025-06-01 11:00:00+00:00,1853353.424,4618056327.18,2.71079406,3.191148,2.38501179,0.995891
2025-06-01 12:00:00+00:00,2025-06-01 12:00:00+00:00,1856686.594,4632061714.71,2.72036474,3.183094,2.39925554,0.596392
2025-06-01 13:00:00+00:00,2025-06-01 13:00:00+00:00,1853695.877,4598074085.94,2.89434707,3.163233,2.49890926,0.728222
2025-06-01 14:00:00+00:00,2025-06-01 14:00:00+00:00,1859397.03,4645703479.45,2.910162,3.158547,2.51630218,1.658516
2025-06-01 15:00:00+00:00,2025-06-01 15:00:00+00:00,1842030.889,4621379845.57,2.8758319,3.210371,2.48888551,0.880089
2025-06-01 16:00:00+00:00,2025-06-01 16:00:00+00:00,1839907.703,4640339222.35,2.66315608,3.157772,2.35940553,0.531167
2025-06-01 17:00:00+00:00,2025-06-01 17:00:00+00:00,1851715.335,4703505185.03,2.5023407,3.132323,2.20716385,0.600971
2025-06-01 18:00:00+00:00,2025-06-01 18:00:00+00:00,1843646.02,4666008104.67,2.55479761,3.162449,2.15697182,0.473045
2025-06-01 19:00:00+00:00,2025-06-01 19:00:00+00:00,1820427.927,4583691885.95,2.62975678,3.204002,2.26366288,1.069524
2025-06-01 20:00:00+00:00,2025-06-01 20:00:00+00:00,1821981.436,4599883652.21,2.617062,3.216054,2.25354921,0.675155
2025-06-01 21:00:00+00:00,2025-06-01 21:00:00+00:00,1816217.759,4586985085.6,2.62672489,3.245398,2.25251845,0.978555
2025-06-01 22:00:00+00:00,2025-06-01 22:00:00+00:00,1813028.328,4613135735.22,2.67601724,3.266649,2.29784166,2.225619
2025-06-01 23:00:00+00:00,2025-06-01 23:00:00+00:00,1808207.226,4591975592.14,2.64493304,3.241455,2.25792552,1.232336
2025-06-02 00:00:00+00:00,2025-06-02 00:00:00+00:00,1813861.736,4602674155.1,2.59412411,3.161189,2.20928522,0.82573
2025-06-02 01:00:00+00:00,2025-06-02 01:00:00+00:00,1814111.065,4598027764.24,2.54921541,3.148486,2.14665652,2.101831
2025-06-02 02:00:00+00:00,2025-06-02 02:00:00+00:00,1823976.413,4597004233.21,2.54917379,3.103742,2.14621548,0.5551
2025-06-02 03:00:00+00:00,2025-06-02 03:00:00+00:00,1814272.707,4544339357.32,2.66201478,3.145748,2.18573411,0.410542
2025-06-02 04:00:00+00:00,2025-06-02 04:00:00+00:00,1819846.966,4542653664.78,2.80414774,3.193124,2.40501801,1.773337
2025-06-02 05:00:00+00:00,2025-06-02 05:00:00+00:00,1839063.398,4576509265.92,2.78077989,3.208128,2.42335287,0.796306
2025-06-02 06:00:00+00:00,2025-06-02 06:00:00+00:00,1856491.759,4637107985.8,2.83587607,3.225917,2.47127021,2.401474
2025-06-02 07:00:00+00:00,2025-06-02 07:00:00+00:00,1862870.972,4662834676.71,2.90272814,3.192208,2.57711529,2.158615
2025-06-02 08:00:00+00:00,2025-06-02 08:00:00+00:00,1865330.418,4675065552.59,2.86514163,3.146374,2.59485329,0.852676
2025-06-02 09:00:00+00:00,2025-06-02 09:00:00+00:00,1859688.159,4632538994.71,2.85883408,3.123336,2.53911947,0.584379
2025-06-02 10:00:00+00:00,2025-06-02 10:00:00+00:00,1883892.058,4666607855.79,2.9704496,2.953604,2.64401504,0.966419
2025-06-02 11:00:00+00:00,2025-06-02 11:00:00+00:00,1884958.087,4675204994.44,2.98630054,2.956734,2.68776498,0.74295
2025-06-02 12:00:00+00:00,2025-06-02 12:00:00+00:00,1886410.775,4678978188.15,3.04207861,2.989165,2.7160751,0.891621
2025-06-02 13:00:00+00:00,2025-06-02 13:00:00+00:00,1901240.712,4746911856.09,3.01986396,2.982224,2.74241438,0.857745
2025-06-02 14:00:00+00:00,2025-06-02 14:00:00+00:00,1885530.553,4727752275.34,2.82163244,3.031225,2.5231603,0.980593
2025-06-02 15:00:00+00:00,2025-06-02 15:00:00+00:00,1858250.521,4689035034.67,2.62690786,3.065521,2.19505101,0.585865
2025-06-02 16:00:00+00:00,2025-06-02 16:00:00+00:00,1877969.119,4770417156.08,2.39218047,3.114538,1.99729452,0.692354
2025-06-02 17:00:00+00:00,2025-06-02 17:00:00+00:00,1887425.81,4801231185.76,2.29976056,3.005475,1.86690532,0.781274
2025-06-02 18:00:00+00:00,2025-06-02 18:00:00+00:00,1892958.043,4823238163.98,2.26493964,2.918689,1.82162078,0.983959
2025-06-02 19:00:00+00:00,2025-06-02 19:00:00+00:00,1883711.063,4795297764.92,2.31393726,2.905195,1.85826168,1.345065
2025-06-02 20:00:00+00:00,2025-06-02 20:00:00+00:00,1879969.147,4772903269.79,2.44944129,2.987028,1.8932501,2.742374
2025-06-02 21:00:00+00:00,2025-06-02 21:00:00+00:00,1861156.33,4732659985.3,2.48423336,3.001918,1.93204335,1.212002
2025-06-02 22:00:00+00:00,2025-06-02 22:00:00+00:00,1859866.397,4780061225.59,2.48222868,2.970393,1.96434598,1.919689
2025-06-02 23:00:00+00:00,2025-06-02 23:00:00+00:00,1879555.141,4879926359.64,2.41419233,2.89877,1.90775154,2.069628
2025-06-03 00:00:00+00:00,2025-06-03 00:00:00+00:00,1898309.234,4946993863.8,2.15400635,2.656073,1.70563553,0.709423
2025-06-03 01:00:00+00:00,2025-06-03 01:00:00+00:00,1910175.108,5009880009.7,2.09334298,2.612557,1.68331375,1.04206
2025-06-03 02:00:00+00:00,2025-06-03 02:00:00+00:00,1902651.996,5027971944.09,2.12087335,2.656573,1.68412872,0.77802
2025-06-03 03:00:00+00:00,2025-06-03 03:00:00+00:00,1890313.603,4943132265.57,2.06497229,2.815265,1.5765625,1.701945
2025-06-03 04:00:00+00:00,2025-06-03 04:00:00+00:00,1892135.586,4922258277.49,2.32350133,2.840318,1.71352876,0.976984
2025-06-03 05:00:00+00:00,2025-06-03 05:00:00+00:00,1893545.766,4917495470.62,2.3430419,2.828956,1.71377366,3.492184
2025-06-03 06:00:00+00:00,2025-06-03 06:00:00+00:00,1895570.451,4950414922.72,2.3914693,2.781099,1.80583728,0.731343
2025-06-03 07:00:00+00:00,2025-06-03 07:00:00+00:00,1904502.602,4984807020.42,2.34141959,2.732508,1.78005622,1.042993
2025-06-03 08:00:00+00:00,2025-06-03 08:00:00+00:00,1902690.474,4965736733.57,2.30717419,2.720362,1.72718676,1.237313
2025-06-03 09:00:00+00:00,2025-06-03 09:00:00+00:00,1906229.605,4967015321.04,2.30206594,2.762431,1.7109015,0.659865
2025-06-03 10:00:00+00:00,2025-06-03 10:00:00+00:00,1902219.903,4967628254.49,2.29228132,2.759566,1.72247224,0.613001
2025-06-03 11:00:00+00:00,2025-06-03 11:00:00+00:00,1897199.223,4959601292.79,2.28411911,2.74556,1.71420508,1.4141
2025-06-03 12:00:00+00:00,2025-06-03 12:00:00+00:00,1900592.834,4940677873.08,2.30927728,2.785389,1.7077584,1.468686
2025-06-03 13:00:00+00:00,2025-06-03 13:00:00+00:00,1913734.991,5003747194.22,2.32076161,2.787406,1.73776881,2.390022
2025-06-03 14:00:00+00:00,2025-06-03 14:00:00+00:00,1925129.481,5045802872.29,2.24107006,2.776649,1.66317829,1.09094
2025-06-03 15:00:00+00:00,2025-06-03 15:00:00+00:00,1923908.972,5075060238.15,2.11555665,2.782639,1.59940326,0.688326
2025-06-03 16:00:00+00:00,2025-06-03 16:00:00+00:00,1911714.116,5004587482.15,2.17442563,2.767278,1.61961398,0.626807
2025-06-03 17:00:00+00:00,2025-06-03 17:00:00+00:00,1894131.664,4945956601.04,2.28688017,2.866686,1.70968309,1.280438
2025-06-03 18:00:00+00:00,2025-06-03 18:00:00+00:00,1901200.194,4965022330.63,2.25666338,2.825987,1.70899627,0.4947
2025-06-03 19:00:00+00:00,2025-06-03 19:00:00+00:00,1901798.19,4985699579.83,2.2709711,2.830063,1.7234955,1.493084
2025-06-03 20:00:00+00:00,2025-06-03 20:00:00+00:00,1918779.938,5026934808.37,2.26148025,2.813716,1.72649857,0.925652
2025-06-03 21:00:00+00:00,2025-06-03 21:00:00+00:00,1896104.041,4947857802.04,2.25787185,2.880991,1.72536575,0.774108
2025-06-03 22:00:00+00:00,2025-06-03 22:00:00+00:00,1880078.564,4872674817.46,2.32075978,2.933673,1.74629465,1.197336
2025-06-03 23:00:00+00:00,2025-06-03 23:00:00+00:00,1873572.752,4877034117.47,2.33817103,2.975345,1.7608572,0.578969
2025-06-04 00:00:00+00:00,2025-06-04 00:00:00+00:00,1874947.789,4869686448.63,2.36852406,2.972291,1.78667345,2.130444
2025-06-04 01:00:00+00:00,2025-06-04 01:00:00+00:00,1874738.865,4883601006.38,2.38772064,2.981291,1.82600676,2.193089
2025-06-04 02:00:00+00:00,2025-06-04 02:00:00+00:00,1889938.25,4947854426.76,2.35911034,2.978044,1.83739854,2.379449
2025-06-04 03:00:00+00:00,2025-06-04 03:00:00+00:00,1890482.622,4948382440.3,2.22189409,2.88006,1.79081902,1.375782
2025-06-04 04:00:00+00:00,2025-06-04 04:00:00+00:00,1914990.236,5033973133.18,2.00562456,2.796021,1.62563396,0.886226
2025-06-04 05:00:00+00:00,2025-06-04 05:00:00+00:00,1932247.638,5102795497.29,1.9902221,2.774516,1.61505217,0.922188
2025-06-04 06:00:00+00:00,2025-06-04 06:00:00+00:00,1926169.297,5063128614.09,1.97882397,2.665946,1.58172699,2.166609
2025-06-04 07:00:00+00:00,2025-06-04 07:00:00+00:00,1931249.44,5077541807.83,1.95011649,2.656982,1.54254484,1.107112
2025-06-04 08:00:00+00:00,2025-06-04 08:00:00+00:00,1939568.858,5097846412.24,1.95061503,2.60007,1.54317017,1.526096
2025-06-04 09:00:00+00:00,2025-06-04 09:00:00+00:00,1955352.4,5157171221.26,1.8435507,2.546594,1.44443305,0.724417
2025-06-04 10:00:00+00:00,2025-06-04 10:00:00+00:00,1962620.896,5182653747.65,1.85712414,2.544054,1.44840316,0.896889
2025-06-04 11:00:00+00:00,2025-06-04 11:00:00+00:00,1967771.139,5186429732.9,1.82653017,2.538444,1.41422433,1.114533
2025-06-04 12:00:00+00:00,2025-06-04 12:00:00+00:00,1967296.137,5168382046.32,1.8466469,2.584247,1.43838332,1.542278
2025-06-04 13:00:00+00:00,2025-06-04 13:00:00+00:00,1958689.024,5118367809.96,1.91872076,2.6495,1.49009702,0.589085
2025-06-04 14:00:00+00:00,2025-06-04 14:00:00+00:00,1938415.416,5038761784.95,2.03755006,2.705578,1.60543099,0.629957
2025-06-04 15:00:00+00:00,2025-06-04 15:00:00+00:00,1970332.654,5191810902.83,2.00249482,2.788927,1.56627085,1.198819
2025-06-04 16:00:00+00:00,2025-06-04 16:00:00+00:00,2011020.673,5355931248.19,1.72511948,2.574559,1.32517119,0.596159
2025-06-04 17:00:00+00:00,2025-06-04 17:00:00+00:00,2002556.843,5311743069.34,1.74323407,2.514579,1.33831506,0.830052
2025-06-04 18:00:00+00:00,2025-06-04 18:00:00+00:00,1985788.716,5241605573.03,1.80305751,2.571759,1.40903937,1.858846
2025-06-04 19:00:00+00:00,2025-06-04 19:00:00+00:00,1974092.786,5191279389.65,1.83280799,2.584441,1.44980816,1.034464
2025-06-04 20:00:00+00:00,2025-06-04 20:00:00+00:00,1958066.314,5129171383.44,1.87725812,2.616863,1.4897912,0.339843
2025-06-04 21:00:00+00:00,2025-06-04 21:00:00+00:00,1911385.162,4967737820.67,1.93577768,2.639061,1.58629032,0.567217
2025-06-04 22:00:00+00:00,2025-06-04 22:00:00+00:00,1900964.913,4970262861.53,1.99083658,2.631882,1.65633863,0.87431
2025-06-04 23:00:00+00:00,2025-06-04 23:00:00+00:00,1898987.187,4943405399.22,2.11799499,2.636304,1.74066353,0.762735
2025-06-05 00:00:00+00:00,2025-06-05 00:00:00+00:00,1915925.967,4999411886.36,2.17063613,2.639373,1.81089448,2.360519
2025-06-05 01:00:00+00:00,2025-06-05 01:00:00+00:00,1923009.664,5024949791.78,2.24540988,2.62923,1.88649357,2.400543
2025-06-05 02:00:00+00:00,2025-06-05 02:00:00+00:00,1926674.126,5029166368.01,2.21911705,2.60752,1.8591663,1.119332
